hypothesis,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
leader_pullback_market_healthy__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=62,125,28,0.408,2.876905594894627,-2.3327203857714367,15.175885755351452,-5.599418569744537,1.867882579000628,30.285585494105533,-12.046909475775694,31.144,1.1598749148700054,1.245674171498396,-0.20016643549270385,215987.49148700055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=62,119,29,0.4117647058823529,2.7517640354466932,-2.2106463044717426,14.44955680959175,-5.436690906454848,1.8604496633614587,30.28558549410555,-12.046909475775694,32.445378151260506,1.1075987257850053,1.2171666778665193,-0.17882630650536002,210759.8725785005,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.5__smart_money_score=62,121,30,0.4049586776859504,2.4914685860681898,-2.3987027538862074,14.49071676729578,-5.674686426156143,1.7378471794511507,30.285585494105536,-12.046909475775694,31.93388429752066,1.0951601094600054,1.191073256459347,-0.17882630650536002,209516.01094600055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=70,116,30,0.39655172413793105,2.184102659992463,-2.619869986604149,14.415963826167786,-5.85397753492275,1.6182753692991385,26.51557281324068,-12.046909475775694,32.008620689655174,0.9681295803500061,1.09438435770772,-0.17869675309267474,196812.9580350006,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=68,114,29,0.4298245614035088,2.790938481225009,-2.365711569828822,14.178754341256958,-5.793722705568308,1.8448586461021468,26.51557281324067,-12.046909475775694,32.45614035087719,0.9753426302550054,1.087971378373231,-0.16272852061805954,197534.26302550055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=70,113,30,0.415929203539823,2.439628522549336,-2.40609343215715,14.197888355622432,-5.9336777222148385,1.703937749688492,26.51557281324067,-12.046909475775694,32.575221238938056,0.9862561939900063,1.0864424022989032,-0.16272852061805954,198625.61939900063,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=65,122,29,0.4098360655737705,2.828403053156419,-2.4023980930216786,14.968908750014263,-5.6025036807726405,1.8554339475970956,26.515572813240667,-12.046909475775694,31.62295081967213,0.9068322852750059,1.0808520408649598,-0.20016643549270385,190683.22852750059,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=65,118,29,0.4067796610169492,2.5368133163719206,-2.2716833451215894,14.129380207885587,-5.412375409237451,1.7901045519310852,30.28558549410555,-12.046909475775694,32.42372881355932,0.9063506536300048,1.0689717059169164,-0.17882630650536002,190635.06536300047,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=68,116,30,0.39655172413793105,1.966298751727652,-2.506086605045928,13.525911361344955,-5.63001810602086,1.5787615368323153,26.51557281324067,-12.046909475775694,32.03448275862069,0.9142228223900055,1.0599796387779712,-0.17869675309267474,191422.28223900055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.5__smart_money_score=65,121,30,0.39669421487603307,2.2074987708541745,-2.40609343215715,14.17139766470845,-5.65917447441987,1.6465615839382404,30.285585494105536,-12.046909475775694,31.669421487603305,0.8963735254050056,1.0468113215388775,-0.17882630650536002,189637.35254050055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.5__smart_money_score=70,115,29,0.41739130434782606,2.538413675811929,-2.3987027538862074,14.25294696953469,-5.85408778834766,1.7442626169634035,26.51557281324068,-12.046909475775694,32.278260869565216,0.8999986423000061,1.0365021945235624,-0.16272852061805954,189999.86423000062,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy__mkt_CHDM20=50__mkt_DS20=0.5__smart_money_score=68,115,29,0.4260869565217391,2.5170697855292072,-2.3987027538862074,13.831996871153189,-5.883406384100717,1.7454530807240938,26.51557281324067,-12.046909475775694,32.947826086956525,0.8133600725400059,0.970584455287964,-0.1635931427526901,181336.00725400058,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
