hypothesis,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
leader_pullback_market_regime_v3__mkt_regime_score=50__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=62,113,29,0.4247787610619469,3.0953331475414507,-2.406093432157164,15.271208190622824,-5.896082268887869,1.912659861298188,30.285585494105533,-14.287655112889295,32.35398230088496,1.0727396088850054,1.0860881850178952,-0.2396886766093007,207273.96088850053,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=55__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=62,113,29,0.4247787610619469,3.0953331475414507,-2.406093432157164,15.271208190622824,-5.896082268887869,1.912659861298188,30.285585494105533,-14.287655112889295,32.35398230088496,1.0727396088850054,1.0860881850178952,-0.2396886766093007,207273.96088850053,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=60__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=62,113,29,0.4247787610619469,3.0953331475414507,-2.406093432157164,15.271208190622824,-5.896082268887869,1.912659861298188,30.285585494105533,-14.287655112889295,32.35398230088496,1.0727396088850054,1.0860881850178952,-0.2396886766093007,207273.96088850053,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=50__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=62,110,29,0.44545454545454544,3.034145373227279,-2.1610507787367403,13.955881874731292,-5.739052800112011,1.9533645847132564,30.28558549410555,-12.333307329348285,34.21818181818182,0.9597483273450058,1.0068429896205329,-0.2396886766093007,195974.83273450058,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=55__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=62,110,29,0.44545454545454544,3.034145373227279,-2.1610507787367403,13.955881874731292,-5.739052800112011,1.9533645847132564,30.28558549410555,-12.333307329348285,34.21818181818182,0.9597483273450058,1.0068429896205329,-0.2396886766093007,195974.83273450058,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=60__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=62,110,29,0.44545454545454544,3.034145373227279,-2.1610507787367403,13.955881874731292,-5.739052800112011,1.9533645847132564,30.28558549410555,-12.333307329348285,34.21818181818182,0.9597483273450058,1.0068429896205329,-0.2396886766093007,195974.83273450058,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=50__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=65,116,29,0.39655172413793105,2.386057418498395,-2.875035999284896,15.166180393103181,-6.012309107670466,1.657657139210092,30.285585494105533,-14.287655112889295,31.06896551724138,0.7526001537950056,0.8594748113482112,-0.2396886766093007,175260.01537950055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=55__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=65,115,29,0.4,2.477562370269855,-2.8296295912020897,15.166180393103181,-5.981516311619031,1.6903384362749891,30.285585494105533,-14.287655112889295,31.191304347826087,0.7498146313450054,0.8573748217716646,-0.2396886766093007,174981.46313450055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=60__mkt_CHDM20=45__mkt_DS20=0.45__smart_money_score=65,115,29,0.4,2.477562370269855,-2.8296295912020897,15.166180393103181,-5.981516311619031,1.6903384362749891,30.285585494105533,-14.287655112889295,31.191304347826087,0.7498146313450054,0.8573748217716646,-0.2396886766093007,174981.46313450055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=50__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=65,111,29,0.40540540540540543,2.2320007508870225,-2.6477632560531448,13.99843966096143,-5.790571233254621,1.648264099250839,30.28558549410555,-12.333307329348285,32.37837837837838,0.665285808335006,0.7888784850578732,-0.2396886766093007,166528.5808335006,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=55__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=65,111,29,0.40540540540540543,2.2320007508870225,-2.6477632560531448,13.99843966096143,-5.790571233254621,1.648264099250839,30.28558549410555,-12.333307329348285,32.37837837837838,0.665285808335006,0.7888784850578732,-0.2396886766093007,166528.5808335006,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_regime_v3__mkt_regime_score=60__mkt_CHDM20=50__mkt_DS20=0.45__smart_money_score=65,111,29,0.40540540540540543,2.2320007508870225,-2.6477632560531448,13.99843966096143,-5.790571233254621,1.648264099250839,30.28558549410555,-12.333307329348285,32.37837837837838,0.665285808335006,0.7888784850578732,-0.2396886766093007,166528.5808335006,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
