family_votes,trades,avg_pnl_pct,total_pnl
"mean_reversion,structure,trend,volatility",158,0.027499969885085938,30810.913557000185
"structure,trend,volatility",43,0.08178903851662946,21436.851525000024
"mean_reversion,structure,trend",20,0.08281248755988088,15480.476750000022
"structure,trend",18,0.09182736452667123,9272.49040096307
"structure,volatility",2,0.08736997465272783,813.3803490000014
structure,26,-0.021632434850910116,-3825.3633939999877
"mean_reversion,structure",11,-0.03066791442794349,-5403.213681999978
"mean_reversion,structure,volatility",22,0.00469383861770164,-7036.1548279999615
