date,equity,return,drawdown
2021-01-04,100612.30144400001,0.0,0.0
2021-01-05,100931.30144400001,0.003170586453362878,0.0
2021-01-06,101680.30144400001,0.00742088915216832,0.0
2021-01-07,102414.38444400001,0.007219520296212867,0.0
2021-01-08,103570.38444400001,0.011287476913285577,0.0
2021-01-11,104037.38444400001,0.004509010973619665,0.0
2021-01-12,105100.50885300002,0.010218676821621253,0.0
2021-01-13,104810.50885300002,-0.0027592635198904203,-0.0027592635198904203
2021-01-14,105715.50885300002,0.008634630342929439,0.0
2021-01-15,106309.50885300002,0.0056188539074808475,0.0
2021-01-18,105327.50885300002,-0.009237179351076374,-0.009237179351076374
2021-01-19,100741.61047550003,-0.04353941745551282,-0.05237441539871124
2021-01-20,100811.24531800002,0.0006912222483967945,-0.051719395511484856
2021-01-21,103015.14217200002,0.02186161719407398,-0.03098844794359179
2021-01-22,103984.14217200002,0.009406384144790003,-0.021873553044209904
2021-01-25,103437.14217200002,-0.0052604174884205435,-0.027018906511662832
2021-01-26,100998.42497750002,-0.023576803682808567,-0.04995869073992176
2021-01-27,99104.81648750002,-0.018748891286392344,-0.06777091196482077
2021-01-28,94801.12372996722,-0.04342566698638328,-0.10825358189685619
2021-01-29,96800.38636296721,0.021089018297870687,-0.08944752536841827
2021-02-01,95268.7539529672,-0.01582258571011197,-0.1038548199418311
2021-02-02,95657.99231146721,0.004085687514000291,-0.10019345076893582
2021-02-03,97854.35079546724,0.022960532945836665,-0.07953341285043647
2021-02-04,97675.86464546723,-0.0018239981007392991,-0.08121234215719131
2021-02-05,98728.64331546723,0.010778288718725548,-0.0713093835097599
2021-02-08,97635.83306546723,-0.011068826769027318,-0.08158889906571154
2021-02-09,98808.05439546723,0.012006056518348185,-0.07056240348081622
2021-02-17,101405.92556346723,0.02629209920076292,-0.04612553799221519
2021-02-18,101846.54340846723,0.004345089722831208,-0.04198086787047406
2021-02-19,101549.95448846724,-0.002912115719141184,-0.04477073044438651
2021-02-22,101441.33582046724,-0.0010696082390891926,-0.04579245154132228
2021-02-23,101731.33582046724,0.0028587951613063822,-0.04306456761890676
2021-02-24,100426.80618046725,-0.012823282319836982,-0.05533562083018473
2021-02-25,101027.27654046722,0.005979184072835375,-0.04968729862007759
2021-02-26,101528.74690046723,0.004963712545484,-0.04497021954210523
2021-03-01,102949.37931046722,0.013992415482018128,-0.031607046056237875
2021-03-02,103003.84967046723,0.0005290984789305675,-0.03109467081729922
2021-03-03,102952.13028046725,-0.00050211123337085,-0.03158116906715469
2021-03-04,102398.07100046723,-0.005381717488415427,-0.036792925625696915
2021-03-05,102602.76788846724,0.001999030704387783,-0.034867445109339146
2021-03-08,102484.25403846725,-0.0011550745894965964,-0.03598224519898929
2021-03-09,102429.04849846722,-0.0005386733846870495,-0.036501535905866356
2021-03-10,102345.21054846724,-0.0008184977916810832,-0.03729015727101548
2021-03-11,103249.74018846723,0.00883802608009332,-0.02878170257341417
2021-03-12,103212.31331846723,-0.0003624887571792579,-0.029133758286998157
2021-03-15,103120.41608846723,-0.0008903708002013788,-0.02999818923952069
2021-03-16,102659.09198846723,-0.004473644671916688,-0.03433763267197876
2021-03-17,102774.56234846724,0.001124794285273678,-0.033251461159704454
2021-03-18,102721.98921846724,-0.0005115383495553072,-0.033745990111697766
2021-03-19,102913.07619846723,0.0018602344196585463,-0.03194853114437046
2021-03-22,102809.45957846724,-0.001006836291630786,-0.03292320049538078
2021-03-23,102435.40337596723,-0.003638344214955458,-0.03644175877427602
2021-03-24,101301.48086396724,-0.011069634858938082,-0.047107996669965346
2021-03-25,101018.74568396722,-0.002791027116175071,-0.0497675440900458
2021-03-26,101207.62239646722,0.001869719438913675,-0.04799087599574425
2021-03-29,101922.78444646724,0.007066286442324099,-0.041263706829824054
2021-03-30,102381.21131646723,0.00449778597091588,-0.036951516180595445
2021-03-31,102522.94649646722,0.001384386628928258,-0.03561828473658635
2021-04-01,103713.16782646722,0.011609316457179775,-0.02442247221857552
2021-04-02,103602.57780546723,-0.001066306461538602,-0.025462736840180633
2021-04-05,104007.71215546723,0.0039104659225828176,-0.021651842082307082
2021-04-06,103842.93348546723,-0.0015842928046883031,-0.0232018320293762
2021-04-07,104349.15481546723,0.004874875092688358,-0.018440062969752535
2021-04-08,104124.58168546723,-0.002152131758011322,-0.020552509282626863
2021-04-09,103925.17060546722,-0.00191512010681949,-0.022428268865673617
2021-04-12,104900.07163746723,0.009380797994559487,-0.013257865930710766
2021-04-13,104633.29296746723,-0.0025431695692447187,-0.015767318498767446
2021-04-14,105282.5490902253,0.006205062503002123,-0.009660093192555008
2021-04-15,104462.5490902253,-0.007788565218888044,-0.01737342014559229
2021-04-16,103786.5490902253,-0.006471218689256153,-0.02373221163370587
2021-04-19,105183.5490902253,0.013460318434766805,-0.010591336324690004
2021-04-20,104871.5490902253,-0.0029662433213046846,-0.013526163165357818
2021-04-22,103099.9042057253,-0.016893474921170215,-0.030191134188314428
2021-04-23,104230.58592972529,0.010966855233384365,-0.01955538075290486
2021-04-26,102758.58592972529,-0.014122534061090875,-0.0334017432832352
2021-04-27,103239.58592972529,0.004680874066610219,-0.028877218570539043
2021-04-28,103354.58592972529,0.0011139138051006192,-0.027795471497856883
2021-04-29,103765.58592972529,0.003976601486067155,-0.023929401525054073
2021-05-04,103713.58592972529,-0.0005011295366771362,-0.024418539331832023
2021-05-05,103933.58592972529,0.0021212264336234465,-0.022349110149309848
2021-05-06,104342.51223572528,0.003934496268381382,-0.018502546371412687
2021-05-07,104680.51223572528,0.0032393316277108397,-0.015323150627355786
2021-05-10,105443.90551572529,0.007292601685793709,-0.008142294575658848
2021-05-11,104738.22558472528,-0.006692467692168025,-0.014780270224439063
2021-05-12,105323.22558472528,0.005585353358185108,-0.009277469898186896
2021-05-13,105033.22558472528,-0.002753428774992406,-0.012005353820602527
2021-05-14,105853.22558472528,0.00780705339129617,-0.004292026867565246
2021-05-17,105256.22558472528,-0.005639884818834928,-0.009907705149227786
2021-05-18,105219.24753672528,-0.00035131459250592467,-0.01025553902033649
2021-05-19,105690.24753672528,0.0044763673094658785,-0.0058250792704821475
2021-05-20,107754.24753672528,0.01952876493436917,0.0
2021-05-21,107455.34199372529,-0.002773956014106238,-0.002773956014106238
2021-05-24,108101.34199372529,0.006011799767364989,0.0
2021-05-25,108578.34199372529,0.004412526164824904,0.0
2021-05-26,108870.34199372529,0.002689302439494501,0.0
2021-05-27,108649.34199372529,-0.0020299375932220087,-0.0020299375932220087
2021-05-28,109343.34199372529,0.006387521426867826,0.0
2021-05-31,109447.34199372529,0.0009511324430340196,0.0
2021-06-01,109606.25305572529,0.0014519408064666006,0.0
2021-06-02,110040.8217767253,0.003964816868423204,0.0
2021-06-03,110920.0532547253,0.007990048273030625,0.0
2021-06-04,111463.0532547253,0.004895417772231125,0.0
2021-06-07,110790.6286542253,-0.006032712911275828,-0.006032712911275828
2021-06-08,110191.6286542253,-0.005406594468106762,-0.011406690947128761
2021-06-09,110496.6286542253,0.002767905363819212,-0.00867035822436557
2021-06-10,110041.6286542253,-0.0041177726917245305,-0.012752428351766376
2021-06-11,110993.6286542253,0.008651271447384534,-0.004211481623666247
2021-06-14,111709.6286542253,0.0064508207244087234,0.0
2021-06-15,112600.6286542253,0.007976035823715089,0.0
2021-06-16,113138.6642282253,0.004778264388311859,0.0
2021-06-17,114485.08501122528,0.01190062470849007,0.0
2021-06-18,114675.08501122528,0.0016596048295842714,0.0
2021-06-21,114725.08501122528,0.0004360145012765049,0.0
2021-06-22,114970.08501122528,0.0021355399298770283,0.0
2021-06-23,114074.08501122528,-0.0077933316298106625,-0.0077933316298106625
2021-06-24,114453.08501122528,0.003322402278858494,-0.004496821933718809
