date,equity,cash,positions,gross_exposure,regime,active_strategies,portfolio_run
2025-05-05,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-06,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-07,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-08,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-09,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-12,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-13,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-14,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-15,100000.0,100000.0,0,0.0,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-16,99652.20441300003,30722.20441300003,1,0.6917057219760591,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-19,99164.20441300003,30722.20441300003,1,0.6901885655730379,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-20,99164.20441300003,30722.20441300003,1,0.6901885655730379,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-21,99896.20441300003,30722.20441300003,1,0.6924587416155925,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-22,99652.20441300003,30722.20441300003,1,0.6917057219760591,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-23,99896.20441300003,30722.20441300003,1,0.6924587416155925,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-26,100384.20441300003,30722.20441300003,1,0.6939537988805197,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-27,101482.20441300003,30722.20441300003,1,0.6972651058310627,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-28,101237.32445800003,767.3244580000355,2,0.9924205379576347,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-29,100439.32445800003,767.3244580000355,2,0.992360318409739,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-05-30,99906.32445800003,767.3244580000355,2,0.9923195607268827,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-02,101028.32445800003,767.3244580000355,2,0.9924048581215555,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-03,102795.32445800003,767.3244580000355,2,0.9925354147958982,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-04,102067.32445800003,767.3244580000355,2,0.9924821732902798,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-05,101278.32445800003,767.3244580000355,2,0.9924236063135282,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-06,100498.32445800003,767.3244580000355,2,0.9923648034717165,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-09,99165.32445800003,767.3244580000355,2,0.9922621696425243,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-10,100004.32445800003,767.3244580000355,2,0.9923270872318897,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-11,100847.32445800003,767.3244580000355,2,0.9923912264195011,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-12,101677.32445800003,767.3244580000355,2,0.9924533374369328,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-13,99843.32445800003,767.3244580000355,2,0.9923147144572213,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-16,101899.32445800003,767.3244580000355,2,0.992469778753869,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-17,102538.32445800003,767.3244580000355,2,0.992516705709246,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-18,102684.32445800003,767.3244580000355,2,0.9925273457068524,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-19,103000.32445800003,767.3244580000355,2,0.9925502714478057,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-20,103549.32445800003,767.3244580000355,2,0.992589768576315,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-23,102810.32445800003,767.3244580000355,2,0.9925365038769671,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-24,103000.32445800003,767.3244580000355,2,0.9925502714478057,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-25,103115.32445800003,767.3244580000355,2,0.9925585798034067,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-26,103599.32445800003,767.3244580000355,2,0.9925933449661526,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-27,102767.32445800003,767.3244580000355,2,0.9925333809939401,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-06-30,102773.32445800003,767.3244580000355,2,0.9925338169019373,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-01,102658.32445800003,767.3244580000355,2,0.9925254531276325,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-02,103797.32445800003,767.3244580000355,2,0.9926074736318419,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-03,103830.32445800003,767.3244580000355,2,0.9926098231705862,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-04,103930.32445800003,767.3244580000355,2,0.9926169338737115,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-07,109089.32445800003,767.3244580000355,2,0.9929660902951557,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-08,110431.32445800003,767.3244580000355,2,0.99305156882102,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-09,109248.32445800003,767.3244580000355,2,0.9929763274466051,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-10,111039.32445800003,767.3244580000355,2,0.9930896152174424,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-11,110396.32445800003,767.3244580000355,2,0.9930493658935904,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-14,110231.32445800003,767.3244580000355,2,0.9930389618216698,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-15,109697.32445800003,767.3244580000355,2,0.9930050759050754,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-16,110930.32445800003,767.3244580000355,2,0.9930828250818778,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-17,111074.32445800003,767.3244580000355,2,0.9930917927095728,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-18,111656.32445800003,767.3244580000355,2,0.993127801208532,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-21,112960.32445800003,767.3244580000355,2,0.9932071330205383,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-22,112860.32445800003,767.3244580000355,2,0.9932011141941597,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-23,112764.32445800003,767.3244580000355,2,0.9931953260777452,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-24,115010.32445800003,767.3244580000355,2,0.9933282123877475,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-25,115150.32445800003,767.3244580000355,2,0.9933363239607726,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-28,121091.32445800003,767.3244580000355,2,0.9936632581943047,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-29,116053.24717800005,7087.247178000056,5,0.9389310738791325,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-30,119939.24717800005,7087.247178000056,5,0.9409096909914569,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-07-31,120729.56161700006,1957.5616170000567,7,0.9837855651028521,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-01,121033.56161700006,1957.5616170000567,7,0.9838262908994235,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-04,126201.56161700006,1957.5616170000567,7,0.9844886101889855,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-05,129439.56161700006,1957.5616170000567,7,0.9848766359176007,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-06,131536.59015700006,1869.5901570000642,7,0.985786539283339,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-07,134685.59015700006,1869.5901570000642,7,0.9861188553666305,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-08,134134.59015700006,1869.5901570000642,7,0.9860618342009189,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-11,134147.59015700006,1869.5901570000642,7,0.9860631849233223,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-12,133493.59015700006,1869.5901570000642,7,0.9859949069105022,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-13,133360.53747300006,499.53747300006467,8,0.9962542332052223,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-14,138211.25026050006,397.25026050007,8,0.9971257747849663,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-15,139376.80921550008,1964.809215500074,8,0.98590289714222,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-18,140729.80921550008,1964.809215500074,8,0.9860384290545626,,leader_pullback_market_healthy_v2,leader_pullback_v2
2025-08-19,142955.30578000008,1864.3057800000788,8,0.9869588206619687,,leader_pullback_market_healthy_v2,leader_pullback_v2
