month,monthly_return,portfolio_run
2025-05,-0.000936755419999713,leader_pullback_v2
2025-06,0.028696881959712872,leader_pullback_v2
2025-07,0.17471690493322645,leader_pullback_v2
2025-08,0.2053167081947691,leader_pullback_v2
2025-09,-0.07864664145782374,leader_pullback_v2
2025-10,-0.006110484097420654,leader_pullback_v2
2025-11,-0.004293376792262604,leader_pullback_v2
2025-12,-0.023602516911277238,leader_pullback_v2
2026-01,0.05201178689282093,leader_pullback_v2
2026-02,0.03160759719009909,leader_pullback_v2
2026-03,0.0019700500560833056,leader_pullback_v2
2026-04,0.020250321899493162,leader_pullback_v2
2026-05,-0.004264906447819072,leader_pullback_v2
2025-05,0.029216650715000236,breakout_accumulation_v3
2025-06,0.12075519825068892,breakout_accumulation_v3
2025-07,0.1603396974891138,breakout_accumulation_v3
2025-08,0.24210123286928975,breakout_accumulation_v3
2025-09,-0.06197229551948791,breakout_accumulation_v3
2025-10,0.11708003493081187,breakout_accumulation_v3
2025-11,0.0,breakout_accumulation_v3
2025-12,0.028051250088125812,breakout_accumulation_v3
2026-01,0.015046578016003398,breakout_accumulation_v3
2026-02,-0.06672041340034951,breakout_accumulation_v3
2026-03,-0.04078412963551592,breakout_accumulation_v3
2026-04,-0.019101790099128046,breakout_accumulation_v3
2026-05,-0.0075404193866541736,breakout_accumulation_v3
2025-05,0.02200772274000018,accumulation_breakout_v2
2025-06,-0.008277823945712193,accumulation_breakout_v2
2025-07,0.11442483589867503,accumulation_breakout_v2
2025-08,0.12957533400743815,accumulation_breakout_v2
2025-09,-0.07276694108358561,accumulation_breakout_v2
2025-10,0.06315293376143716,accumulation_breakout_v2
2025-11,0.0016650493586729542,accumulation_breakout_v2
2025-12,0.023773172902925355,accumulation_breakout_v2
2026-01,-0.026986823595425036,accumulation_breakout_v2
2026-02,-0.021715655178491944,accumulation_breakout_v2
2026-03,-0.04648818078687411,accumulation_breakout_v2
2026-04,0.0405592862812818,accumulation_breakout_v2
2026-05,0.010406957495671554,accumulation_breakout_v2
2025-05,0.08435470840000026,composite_score_v2
2025-06,0.015639615610673507,composite_score_v2
2025-07,0.1298466257073656,composite_score_v2
2025-08,0.18723330958333206,composite_score_v2
2025-09,-0.0072685079934474706,composite_score_v2
2025-10,-0.004151550731153364,composite_score_v2
2025-11,0.008521067221202605,composite_score_v2
2025-12,0.0557597190327932,composite_score_v2
2026-01,0.03574981839719871,composite_score_v2
2026-02,0.0082133850663757,composite_score_v2
2026-03,-0.05075948900895533,composite_score_v2
2026-04,-0.00022406074003111787,composite_score_v2
2026-05,0.010625549181144,composite_score_v2
2025-05,0.031158668055000227,mean_reversion_ma50
2025-06,0.07682504974663562,mean_reversion_ma50
2025-07,0.03908508178919723,mean_reversion_ma50
2025-08,0.0,mean_reversion_ma50
2025-09,-0.028384524173187042,mean_reversion_ma50
2025-10,-0.00140195565938539,mean_reversion_ma50
2025-11,-0.029976793138444147,mean_reversion_ma50
2025-12,0.0450503130924762,mean_reversion_ma50
2026-01,0.09645747442344677,mean_reversion_ma50
2026-02,-0.007728148906970045,mean_reversion_ma50
2026-03,-0.04623405647202039,mean_reversion_ma50
2026-04,-0.01879093140911592,mean_reversion_ma50
2026-05,-0.0034491819332378437,mean_reversion_ma50
2025-05,0.08717776431000024,curated_combined
2025-06,0.024219931559869456,curated_combined
2025-07,0.05386708299961773,curated_combined
2025-08,0.23119241914749122,curated_combined
2025-09,-0.04390208850839261,curated_combined
2025-10,0.019731051506022945,curated_combined
2025-11,0.01323248668336574,curated_combined
2025-12,0.06379581497393061,curated_combined
2026-01,0.0775762737469663,curated_combined
2026-02,0.034058865857442555,curated_combined
2026-03,-0.0661111400513198,curated_combined
2026-04,-0.0042513611404669804,curated_combined
2026-05,-0.00023481989405560455,curated_combined
2025-05,0.029216650715000236,regime_switching
2025-06,0.12075519825068892,regime_switching
2025-07,0.14238243046202692,regime_switching
2025-08,0.1804589332962685,regime_switching
2025-09,-0.055435836669340155,regime_switching
2025-10,0.03945440479907614,regime_switching
2025-11,0.012189190842098796,regime_switching
2025-12,0.04591886129584455,regime_switching
2026-01,-0.00909239888991309,regime_switching
2026-02,-0.038912812707119215,regime_switching
2026-03,-0.040638533107877906,regime_switching
2026-04,-0.020693551311711467,regime_switching
2026-05,-0.007199291898545068,regime_switching
