setup_type,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
KIJUN_BOUNCE,2,1.0,0.0789994035776957,3031800.9431076087,inf
FLAG_PENNANT,3,0.6666666666666666,0.03893681339547237,2337851.121794019,3.2422442016700077
MA_PULLBACK,3,0.6666666666666666,0.036011130735245346,2226440.422937013,2.800717276516712
KUMO_BREAKOUT,1,1.0,0.13041767643129612,2175909.162720004,inf
OVERSOLD_MEAN_REVERSION,33,0.45454545454545453,0.00454732274843174,2115129.476622835,1.1521423007512335
DOUBLE_BOTTOM,26,0.4230769230769231,0.003158501831883198,1359524.2756111585,1.1209577559603063
BB_SQUEEZE,116,0.47413793103448276,0.001291052330414181,927905.2324350886,1.0167503341164537
ADX_TREND,26,0.4230769230769231,0.002648241447118423,747071.4621488526,1.0536079307481048
TK_CROSS,1,1.0,0.027415321774092102,530675.1148036234,inf
BULLISH_ENGULFING,9,0.4444444444444444,0.0041293165062225344,526480.4404359907,1.1171942292548283
AROON_TREND_SHIFT,3,0.3333333333333333,-0.007346400686280776,20332.380921013653,1.0112093048731767
SUPERTREND_PULLBACK,5,0.4,-0.003975417549420793,-267554.991510408,0.8885884022187357
TREND_PULLBACK,3,0.3333333333333333,-0.007099881448999114,-510218.9885830432,0.738908990287041
PIN_BAR,1,0.0,-0.04659226365394733,-750865.2214799952,0.0
OBV_ACCUMULATION,7,0.2857142857142857,-0.01647569345007747,-1381397.2050194144,0.6978672892797222
BREAKOUT_RETEST_ENTRY,4,0.25,-0.018231212032556482,-1394026.7383923363,0.4455020293113454
SPRING,55,0.38181818181818183,-0.0008177074340701996,-1603475.1711031906,0.9414887340407969
GOLDEN_CROSS,11,0.36363636363636365,-0.008172261631142153,-2186532.016612351,0.6647801381725239
NR7,19,0.3684210526315789,-0.006689926824208445,-2195643.6281802673,0.7135032508533022
MOMENTUM_SURGE,25,0.32,-0.009033773581439504,-4765236.557607643,0.6595784868720361
MACD_CROSSOVER,32,0.40625,-0.008692488782671771,-5447508.686014438,0.6999464954715482
HAMMER,9,0.1111111111111111,-0.044605710333219306,-7249913.190165717,0.05832418193068256
RETEST,42,0.35714285714285715,-0.009528816786502562,-7298997.158743326,0.6444044129242026
BREAKOUT,72,0.3888888888888889,-0.007297268696145341,-9795074.914221177,0.7648498890719035
