symbol,folds,avg_score,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades
ACB,12,0.08943553596755073,0.027581666906602735,0.19756520122680093,-0.08810782358915249,0.4479826679475619,510
BCM,12,-0.49279396299935435,-0.05001850575882073,-0.9084422740337553,-0.11783637127415196,0.2944617474370165,617
BID,12,0.25173210222320413,0.018563337460804203,0.5217239379969807,-0.07349434006763728,0.5970973470973471,376
BVH,12,0.010842052976557248,0.012724954847030366,0.05105840164509422,-0.09252317150049483,0.46846690640450134,641
CTG,12,0.27535363172499117,0.027293183087925065,0.5535885388779821,-0.048142963201887025,0.4773834961334962,321
FPT,12,0.10247021740248156,0.021028134539901107,0.23902551793180643,-0.11675490962695981,0.43456185974982975,643
GAS,12,-0.14705692910604395,0.018266151226086064,-0.28665915040489787,-0.04603599635710439,0.3365916821273964,390
GVR,12,-0.04930111101643875,-0.0005549248916604825,-0.042528109212828756,-0.139352894712631,0.4097742236828874,738
HDB,12,0.5048232225837179,0.10046091302826587,0.9811677464685502,-0.0794946227951849,0.5503638557209986,407
HPG,12,0.18625360414448616,0.020859851808249404,0.3947247564853339,-0.0868336482032779,0.4782034805600152,589
MBB,12,0.281436442452824,0.04563391642551297,0.5686970568487849,-0.08301130449611187,0.45297833258359577,454
MSN,12,-0.4065230417484697,-0.04402832693429636,-0.7519191158788161,-0.08677492864386303,0.36015084759418015,613
MWG,12,0.16563534800814947,0.02992770969010803,0.35241227118027285,-0.09774550244509662,0.47352952134058124,658
PLX,12,0.03339207628706053,0.029759846544638684,0.07734831858384882,-0.07105018484127734,0.3844830247392359,461
POW,12,-0.15110043990965336,-0.015436772842519238,-0.26470937807771877,-0.07057359509019091,0.37696202412588964,430
SAB,12,-0.35605919376154516,-0.01915449428953057,-0.6798606040209324,-0.051912717321098596,0.3431793390644322,344
SHB,11,0.06722406044485228,0.03396423248714983,0.14271310466204892,-0.07160880816158567,0.4460886876471293,385
SSB,11,-0.27231666450502195,-0.026749012697165838,-0.5036033150187491,-0.062451515932488134,0.2951268969126112,324
SSI,12,0.17751604883013133,0.08575903361082216,0.34971978876942406,-0.11535777818913678,0.4081419711486607,798
STB,12,0.34100321252736265,0.04008754873008066,0.6867281560164535,-0.07193565049944167,0.547687450741962,425
TCB,12,0.2026086103767859,0.06219077132807186,0.4123562675520328,-0.11113377398826005,0.446011495118638,547
TPB,12,-0.057878382283074147,-0.014406059509599434,-0.07487998287482862,-0.08058286496390005,0.3855534676963249,396
VCB,12,-0.12588368613045825,-0.0004007486330021108,-0.22196521766802862,-0.07390426353271644,0.3208630655059226,599
VHM,12,-0.006028751913481802,0.07637666065914196,-0.016258499961685918,-0.10406250065190713,0.37957005764153934,561
VIB,12,0.10967845577052751,0.01883353199940436,0.23390042022123664,-0.06460906969956041,0.49610090636876353,521
VIC,12,0.27726512958522537,0.2764197717364805,0.4294504959768481,-0.10193024962071429,0.37140944999787767,754
VJC,12,-0.24578102545633468,-0.011122119431113435,-0.4681944842286647,-0.041735737563341646,0.3490405563934975,324
VNM,12,-0.2868222988101769,-0.011846489156561234,-0.5490487410338891,-0.043719907731319896,0.28371582121582123,332
VPB,12,-0.10606746918525697,0.005294919619123519,-0.19117160985484943,-0.060350700717846636,0.4132605820105821,385
VRE,12,-0.03282149939907342,-0.02684126624612619,-0.012688683513687127,-0.09212388884195995,0.45388325009252334,467
