strategy_id,family,logic,conditions,risk,symbols_tested,avg_score,score_std,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades,risk_rejections,qa_score
qa_027,volume,OR,volume_spike >= True | volume > volume_ma20 | breakout_20_high >= True,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",4,-0.12780301053783988,0.9118127224895013,0.030221579228998798,-0.2138959941148874,-0.14960743624547876,0.4680177336894603,302,4,-0.44930006609508283
qa_099,volume,AND,obv > obv_ema20 | volume_ratio_20 > 1.2 | breakout_20_high >= True,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",5,-0.38196060292575235,0.45852655281279364,-0.00963096352163692,-0.7474811838152448,-0.026653609808194322,0.31845238095238093,32,4,-0.45177365984309814
qa_051,volume,AND,volume_ratio_20 > 1.5 | volume_ratio_20 > 1.2,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}",8,-0.27592819843811006,0.9100392798578574,-0.0011245368864815216,-0.5150726292832293,-0.09027261365275438,0.441426873779815,176,4,-0.46603736116682415
qa_023,mean_reversion,AND,bb_percent < 0.2 | close > kc_lower | volume_ratio_20 > 1.0,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",8,-0.3736036298123635,0.6905136912219424,-0.01852214563206364,-0.7226884737676446,-0.033513746194610346,0.4380485527544351,170,5,-0.467013232908157
qa_059,volume,OR,volume_ratio_20 > 1.2 | close > vwma20 | close > ema20,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",6,-0.3003452019109289,0.6703206800972652,-0.041906053245112956,-0.5053339058671287,-0.17553216501915372,0.3589113903109118,166,11,-0.4763936977016755
qa_033,trend,AND,supertrend_dir > 0 | close > sma50,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",5,-0.19408618156897095,0.9536903177095701,-0.0013679547531548948,-0.33129419685731243,-0.14014348357184134,0.23785473785473785,52,4,-0.47692801201746493
qa_035,volume,AND,volume_spike >= True | volume > volume_ma20,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",9,-0.33580106824633654,0.8904881903798528,-0.018128782844550367,-0.6248261905030775,-0.08974669070716289,0.4422522247083651,208,4,-0.49888327662679205
qa_038,hybrid,AND,rsi_14 > 50 | volume_ratio_20 > 1.2 | supertrend_dir > 0,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",5,-0.2884443751745212,0.8221385593764249,-0.03439946416135635,-0.5107739835156024,-0.11368772084156535,0.41524889584100116,136,4,-0.5159835732508178
qa_016,qa_broad,OR,linreg_slope_14 > 0 | mom_10 > 0,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",5,-0.41966088876650937,0.4267099139953825,-0.06942958244583348,-0.7332341318167194,-0.1610747406219984,0.2771360096524237,163,6,-0.5253855178825927
qa_065,trend,AND,adx_14 > 20 | close > sma20,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",5,-0.4845173292799891,0.36279098944094035,-0.06212794332341664,-0.8869760483739887,-0.111954610479849,0.25275329828901255,109,4,-0.5506782892522654
qa_102,hybrid,OR,atr_pct < 0.06 | ema20 > ema50 | supertrend_dir > 0,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",3,-0.43339586421260856,0.1157619726863439,-0.13745449519317554,-0.677658037053318,-0.2666524856399843,0.2385129490392648,68,5,-0.5672409246268233
qa_094,hybrid,OR,atr_pct < 0.06 | rsi_14 > 50 | supertrend_dir > 0 | macd_hist > 0,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",2,-0.4109417094718613,0.11093029392032538,-0.11901301466381957,-0.6457852007939492,-0.26172602337870454,0.2579934685197843,51,4,-0.5913714205265217
