symbol,strategy_id,family,folds,total_return,sharpe_ratio,max_drawdown,win_rate,number_of_trades,test_score,score_std,instability_penalty,final_score,conditions,logic,risk
VIB,qa_104,qa_broad,3,-0.1016920464637141,-1.2944457520120125,-0.19112656226908245,0.20763305322128853,39,-0.7159558023989371,1.0184716783492103,0.0683282049202573,-1.038901926906497,linreg_slope_14 > 0 | cmo_9 > 0 | roc_9 > 0,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VIB,qa_008,qa_broad,1,-0.251569734927382,-3.859448787134457,-0.251569734927382,0.2,15,-2.0555092610309194,0.0,0.08123171864962936,-2.1367409796805488,cmo_9 > 0 | roc_9 > 0,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VIC,qa_059,volume,1,1.8675019379737945,4.022956728000237,-0.14225668449411055,0.5555555555555556,18,2.5432776084934345,0.0,0.16586421290473402,2.3774133955887007,volume_ratio_20 > 1.2 | close > vwma20 | close > ema20,OR,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_109,structure,1,1.8427749065897645,3.8229006552682,-0.21387548991061756,0.5483870967741935,31,2.4215077016289057,0.0,0.16436984721987533,2.2571378544090304,dmp_14 > dmn_14 | rsi_14 > 55,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VIC,qa_067,volume,1,1.6892245303206188,3.5811470352907815,-0.2086005893610383,0.5714285714285714,35,2.2556207588693686,0.0,0.1815174002078887,2.07410335866148,volume_spike >= True | volume_ratio_20 > 1.5 | close > ema20 | breakout_20_high >= True,OR,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VIC,qa_002,momentum,1,1.1488368951020562,3.723314642565768,-0.16710050306796553,0.7777777777777778,9,2.172888289199908,0.0,0.13575821981222444,2.0371300693876835,rsi_21 > 55 | cmo_9 > 20 | stoch_k > 50,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_117,structure,2,1.327811429794202,3.499789021009412,-0.16717261726439436,0.503157894736842,44,2.114803415990088,0.015380767712332074,0.1573447480859341,1.953613475976071,rsi_14 > 55 | close > ema50,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VIC,qa_085,structure,2,1.327811429794202,3.499789021009412,-0.16717261726439436,0.503157894736842,44,2.114803415990088,0.015380767712332074,0.15797094171683246,1.9529872823451726,rsi_14 > 55 | breakdown_20_low <= False,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VIC,qa_028,volatility,1,1.3293496290442608,3.4511132050432547,-0.14837643038242343,0.4666666666666667,15,2.0946862051584207,0.0,0.1674069254411746,1.9272792797172462,close > bb_mid | volume_ratio_20 > 1.2,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_061,structure,2,0.9800810011475658,2.9165910542856253,-0.19469063652181995,0.5108333333333333,49,1.7133817001827185,0.05759817774138479,0.18306103210664917,1.515921123640723,aroon_up_14 > aroon_down_14 | breakout_20_high >= True | volume_ratio_20 > 1.5,OR,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
