strategy,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars
MC_HYBRID_BALANCED,CTG,2022-07-22,2022-09-19,16.94847,15.912040000000001,4100,69488.727,65108.885272,-4379.841727999999,-0.06302952891912957,STOP_LOSS,39
MC_HYBRID_BALANCED,SAB,2022-08-03,2022-10-28,74.33715,75.86205000000001,400,29734.859999999997,30284.130360000003,549.2703600000059,0.018472269921567006,MAX_HOLDING,60
MC_HYBRID_BALANCED,POW,2022-12-05,2022-12-06,9.88494,9.505245,1300,12850.422,12332.104863,-518.317137,-0.0403346393604817,STOP_LOSS,1
MC_HYBRID_BALANCED,TCB,2022-12-05,2022-12-06,13.946969999999999,13.603195,900,12552.273,12218.389749,-333.8832509999993,-0.026599425538306833,STOP_LOSS,1
MC_HYBRID_BALANCED,SHB,2022-12-05,2022-12-06,7.103549999999999,6.946525,1800,12786.39,12478.73751,-307.6524899999986,-0.024060934321571498,STOP_LOSS,1
MC_HYBRID_BALANCED,HPG,2022-12-05,2022-12-07,15.007499999999999,13.623185000000001,800,12005.999999999998,10876.750904,-1129.2490959999977,-0.0940570628019322,STOP_LOSS,2
MC_HYBRID_BALANCED,STB,2022-12-06,2022-12-07,22.261125,20.539725,600,13356.675,12299.18733,-1057.4876699999986,-0.07917297306402968,STOP_LOSS,1
MC_HYBRID_BALANCED,VIC,2022-12-08,2022-12-09,37.2186,35.232375000000005,700,26053.02,24613.337175,-1439.6828249999999,-0.0552597290064645,STOP_LOSS,1
MC_HYBRID_BALANCED,VHM,2022-12-06,2022-12-12,58.32914999999999,54.172900000000006,200,11665.829999999998,10812.910840000002,-852.9191599999958,-0.07311259978929883,STOP_LOSS,4
MC_HYBRID_BALANCED,SSI,2022-12-06,2022-12-21,13.616805,13.463265000000002,1000,13616.805,13436.33847,-180.4665299999997,-0.01325322129530383,STOP_LOSS,11
MC_HYBRID_BALANCED,GVR,2022-12-15,2022-12-21,14.787389999999998,13.713140000000001,700,10351.172999999999,9579.999604,-771.1733959999983,-0.07450106340605055,STOP_LOSS,4
MC_HYBRID_BALANCED,TCB,2022-12-09,2022-12-26,13.44672,12.873560000000001,3900,52442.208,50106.47023200001,-2335.737767999992,-0.04453927203065119,STOP_LOSS,11
MC_HYBRID_BALANCED,ACB,2022-12-05,2023-03-07,13.8069,14.492750000000001,900,12426.210000000001,13017.38805,591.1780499999986,0.04757508926696061,MAX_HOLDING,60
MC_HYBRID_BALANCED,FPT,2023-01-04,2023-04-05,50.275124999999996,50.024975,1400,70385.17499999999,69894.89507,-490.2799299999897,-0.006965670398631385,MAX_HOLDING,60
