strategy,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars
MC_RESET_SMT_CONFIRM,ACB,2022-06-03,2022-06-15,14.957474999999999,14.322835000000001,4600,68804.385,65753.27091800001,-3051.1140819999855,-0.044344762067126765,STOP_LOSS,8
MC_RESET_SMT_CONFIRM,GVR,2022-08-08,2022-09-20,23.181585000000002,21.489250000000002,1200,27817.902000000002,25735.525800000003,-2082.376199999999,-0.07485741376182857,STOP_LOSS,29
MC_RESET_SMT_CONFIRM,STB,2022-07-20,2022-09-26,23.261625,20.939525,2900,67458.7125,60603.173254999994,-6855.539245,-0.10162570542685648,STOP_LOSS,46
MC_RESET_SMT_CONFIRM,HDB,2022-08-24,2022-09-26,10.595295,9.83508,100,1059.5295,981.540984,-77.98851600000012,-0.07360674337052447,STOP_LOSS,21
MC_RESET_SMT_CONFIRM,VRE,2022-12-08,2022-12-12,29.51475,29.1854,1200,35417.7,34952.435040000004,-465.26495999999315,-0.01313650971124588,STOP_LOSS,2
MC_RESET_SMT_CONFIRM,SSI,2022-12-22,2022-12-26,13.026509999999998,12.133930000000001,900,11723.858999999999,10898.695926,-825.1630739999982,-0.07038323081162938,STOP_LOSS,2
MC_RESET_SMT_CONFIRM,HPG,2022-12-22,2022-12-26,14.477235,13.863065,800,11581.788,11068.271096,-513.5169040000001,-0.04433830976702389,STOP_LOSS,2
MC_RESET_SMT_CONFIRM,TCB,2022-12-22,2022-12-27,13.116554999999998,12.11394,900,11804.899499999998,10880.740908,-924.158591999998,-0.07828601946166489,STOP_LOSS,3
MC_RESET_SMT_CONFIRM,VCB,2022-11-28,2023-01-19,41.90094,50.29484,600,25140.564,30116.550192,4975.986192,0.19792659353226924,TAKE_PROFIT,37
MC_RESET_SMT_CONFIRM,BCM,2023-01-11,2023-04-12,78.35915999999999,76.5617,700,54851.41199999999,53486.00362,-1365.4083799999862,-0.02489285745278511,MAX_HOLDING,60
MC_RESET_SMT_CONFIRM,VHM,2023-04-18,2023-04-27,50.92545,47.976,200,10185.09,9576.009600000001,-609.0803999999989,-0.059801179960118064,STOP_LOSS,7
MC_RESET_SMT_CONFIRM,CTG,2023-02-03,2023-04-28,17.92896,17.49125,1900,34065.024,33166.90825,-898.1157499999972,-0.026364747313842998,MAX_HOLDING,60
MC_RESET_SMT_CONFIRM,SSI,2023-04-18,2023-06-16,14.317155,17.361315,900,12885.4395,15593.933133,2708.493633,0.21019800162811675,TAKE_PROFIT,40
MC_RESET_SMT_CONFIRM,TCB,2023-04-19,2023-07-17,13.796895,15.162415000000001,100,1379.6895,1513.2090170000001,133.51951700000018,0.09677504757411011,MAX_HOLDING,60
MC_RESET_SMT_CONFIRM,HDB,2023-04-19,2023-07-17,9.854925,10.184905,200,1970.985,2032.9070380000003,61.922038000000384,0.03141679819988503,MAX_HOLDING,60
MC_RESET_SMT_CONFIRM,MWG,2023-07-03,2023-07-24,42.111045000000004,51.324325,100,4211.1045,5122.167635,911.0631349999994,0.21634778595496723,TAKE_PROFIT,15
MC_RESET_SMT_CONFIRM,TPB,2023-05-09,2023-08-01,12.02601,13.523235,700,8418.207,9447.331971,1029.1249709999993,0.12224990083992936,MAX_HOLDING,60
MC_RESET_SMT_CONFIRM,PLX,2023-05-15,2023-08-07,34.47723,37.131425,1800,62059.013999999996,66702.89187,4643.877870000011,0.07483002984868582,MAX_HOLDING,60
MC_RESET_SMT_CONFIRM,GVR,2023-07-28,2023-08-18,20.880435,20.3898,300,6264.130499999999,6104.706120000001,-159.42437999999856,-0.025450360588751875,STOP_LOSS,15
MC_RESET_SMT_CONFIRM,VPB,2023-08-11,2023-08-22,19.339664999999997,18.270860000000003,3600,69622.794,65643.54580800001,-3979.2481919999846,-0.05715438814477892,STOP_LOSS,7
MC_RESET_SMT_CONFIRM,SSI,2023-07-03,2023-08-28,18.069029999999998,22.3888,400,7227.611999999999,8937.60896,1709.9969600000004,0.2365922465124028,TAKE_PROFIT,40
