symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
VHC,HAMMER,2025-09-24,2025-09-25,2025-10-01,58.52846999999999,55.7442,427100,24997509.536999997,-1261775.9221769944,-0.05042563959839583,4,EDGE_STOP_LOSS,1.85,hammer_refined_v1,True,72.2762,3.0,1.85,"{'setup_type': 'HAMMER', 'stop_loss': 0.06, 'take_profit': 0.18, 'max_holding_bars': 18, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.3, 'trailing_profit_activation': 0.07, 'use_regime_exposure': True}",Edge strategy passed: hammer_refined_v1 | edge_score=72.2762
VNM,HAMMER,2025-09-24,2025-09-25,2025-10-20,59.61955999999999,58.8411,419300,24998481.507999998,-400750.9059679955,-0.016014994962172523,17,EDGE_STOP_LOSS,2.025,hammer_refined_v1,True,60.3733,2.0,2.025,"{'setup_type': 'HAMMER', 'stop_loss': 0.06, 'take_profit': 0.18, 'max_holding_bars': 18, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.3, 'trailing_profit_activation': 0.07, 'use_regime_exposure': True}",Edge strategy passed: hammer_refined_v1 | edge_score=60.3733
PNJ,HAMMER,2025-09-24,2025-09-25,2025-10-21,56.99693999999999,57.29265,438600,24998857.883999996,54442.4355360046,0.002175621292016146,18,EDGE_MAX_HOLD,3.075,hammer_refined_v1,True,57.8433,1.0,3.075,"{'setup_type': 'HAMMER', 'stop_loss': 0.06, 'take_profit': 0.18, 'max_holding_bars': 18, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.3, 'trailing_profit_activation': 0.07, 'use_regime_exposure': True}",Edge strategy passed: hammer_refined_v1 | edge_score=57.8433
