symbol,selected_hypothesis,train_trades,train_win_rate,train_avg_trade_pct,train_total_pnl_pct,train_profit_factor,router_score,fold,train_start,train_end,test_start,test_end
ACB,rotation_weekly_smt_money_cycle_v1,3,0.6666666666666666,0.6697800783917969,2.0093402351753906,5.010425173234805,2.5635512721540925,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
CTG,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.36868459170718154,2.580792141950271,1.442520755668647,0.9035136900418225,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
GAS,rotation_weekly_smt_money_cycle_v1,6,0.5,1.8155832997823673,10.893499798694204,2.9919017727614174,1.6734466287274035,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
HDB,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,1.9255083990778454,11.553050394467073,8.611074668644758,2.6514522546021158,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
HPG,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.7452725438409323,5.2169078068865264,2.6227344454015786,1.4609710070710042,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
MBB,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,1.2456293784770043,8.71940564933903,2.7051753013278237,1.5902372278051968,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
PLX,composite_edge_score_v2,3,0.3333333333333333,5.22185541462952,15.66556624388856,2.593529758747537,1.6659516037937914,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
SHB,rotation_weekly_smt_money_cycle_v1,4,1.0,4.2820050950681345,17.128020380272538,inf,2.9497403566547695,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
STB,composite_edge_score_v2,3,0.6666666666666666,8.651175766222808,25.953527298668423,6.689032301301306,3.1222489703022633,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
TCB,rotation_weekly_smt_money_cycle_v1,5,0.6,0.34616644958058973,1.7308322479029485,1.1607752787069048,0.7865805268887485,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
TPB,rotation_weekly_smt_money_cycle_v1,3,1.0,1.917807620461395,5.753422861384185,inf,2.7842465334322974,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
VNM,rotation_weekly_smt_money_cycle_v1,4,1.0,0.8434672054622978,3.3738688218491912,inf,2.7090427043823606,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
ACB,rotation_weekly_smt_money_cycle_v1,4,0.75,0.35617546361283886,1.4247018544513554,2.1915764318798767,1.3111416767988433,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
FPT,rotation_monthly_smt_money_cycle_v1,3,1.0,2.5621344688588157,7.6864034065764475,inf,2.829349412820117,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
GAS,rotation_weekly_smt_money_cycle_v1,4,0.5,0.221178311994997,0.884713247979988,1.3471553804893814,0.8217024030598714,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
GVR,rotation_monthly_smt_money_cycle_v1,4,1.0,5.084536427617453,20.338145710469814,inf,3.005917549933222,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
HDB,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,1.925508399077841,11.553050394467046,8.611074668644685,2.6514522546021153,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
HPG,rotation_weekly_smt_money_cycle_v1,9,0.6666666666666666,1.5953382777535543,14.358044499781988,4.967883545115385,2.6138879414113387,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
MBB,rotation_weekly_smt_money_cycle_v1,12,0.5,0.40607785593610113,4.8729342712332135,1.6300443654959111,0.9619454143886872,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
PLX,mean_reversion_uptrend_ma20_v1,3,0.6666666666666666,6.1689284281606795,18.50678528448204,5.16934170522716,2.948491656637914,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
SHB,composite_edge_score_v1,3,0.6666666666666666,9.921032248412695,29.763096745238087,12.819899614164825,3.2111389240555552,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
SSI,composite_edge_score_v2,3,0.6666666666666666,8.325053025555727,24.975159076667182,6.73733029074218,3.0994203784555676,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
STB,composite_edge_score_v1,4,0.25,4.493605692412963,17.974422769651852,2.747725353267482,1.6510288074392743,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
TCB,leader_pullback_market_regime_v3,3,0.3333333333333333,3.613065031764511,10.839195095293533,2.5236707257377886,1.521899712138854,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
TPB,mean_reversion_uptrend_ma20_v1,3,1.0,8.175486640891366,24.5264599226741,inf,3.2222840648623956,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
VCB,composite_edge_score_v2,3,0.6666666666666666,4.791304874389373,14.373914623168119,9.87829895540245,2.852058007873923,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
VHM,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,0.29115739402960267,1.7469443641776161,1.3130292023814136,0.8779108253203751,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
VNM,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,0.8417186874786754,5.892030812350728,3.90446816861539,2.1016452697147185,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
VPB,composite_edge_score_v2,3,0.6666666666666666,4.3763651838679545,13.129095551603863,2.721759240432354,1.7978038877319826,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
FPT,rotation_weekly_smt_money_cycle_v1,8,0.75,0.8476045569476334,6.780836455581067,1.9801915121572653,1.2504184994571037,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
GVR,leader_pullback_market_regime_v3,3,0.6666666666666666,6.233206037913372,18.699618113740115,3.509980026972536,2.282482101458244,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
HDB,mean_reversion_uptrend_ma20_v1,4,0.5,2.5699441683096005,10.279776673238402,5.055693356202592,2.629896091781672,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
HPG,rotation_monthly_smt_money_cycle_v1,4,1.0,4.029196068385843,16.116784273543374,inf,2.932043724787009,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
MBB,rotation_monthly_smt_money_cycle_v1,4,0.75,2.0711356579488083,8.284542631795233,2.8040745398819196,1.7068130390032805,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
MWG,rotation_weekly_smt_money_cycle_v1,4,0.75,2.645620664615394,10.582482658461576,3.0656518643947344,1.8647367855007082,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
