setup_type,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BB_SQUEEZE,20,0.45,0.011374395991260717,2158912.619694098,1.3540146293349633
SUPERTREND_PULLBACK,1,1.0,0.03393389179800642,339718.95375000313,inf
RETEST,7,0.42857142857142855,0.003272819166748437,188405.28979699872,1.064494879510778
NR7,3,0.3333333333333333,0.004891619391688071,112203.46155750565,1.0772001121709287
OVERSOLD_MEAN_REVERSION,2,0.5,-0.00856305621734061,-235565.56974060088,0.590910095953033
DOUBLE_BOTTOM,1,0.0,-0.02828634901622788,-283145.71628999896,0.0
MOMENTUM_SURGE,1,0.0,-0.029669864046296544,-423105.9320474956,0.0
KUMO_BREAKOUT,1,0.0,-0.04492528139608691,-509749.2007999979,0.0
RSI_BOUNCE,1,0.0,-0.05317901353217012,-597915.341099998,0.0
ADX_TREND,1,0.0,-0.06037123371852223,-661115.5467149988,0.0
BREAKOUT_RETEST_ENTRY,1,0.0,-0.06353337923456896,-846649.9923699964,0.0
MACD_CROSSOVER,3,0.3333333333333333,-0.020584749301235175,-1190814.2232194897,0.4467473875701045
SPRING,2,0.0,-0.05118333146758444,-1611343.0898999982,0.0
BREAKOUT,24,0.3333333333333333,-0.011413525670022703,-2102344.481980649,0.8081956929112537
