hypothesis,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
accumulation_breakout_smt_v1__value_ratio_20=1.15__smart_money_score=55__accumulation_days_10=0__DS20=0.55,161,30,0.4409937888198758,1.9338103384034566,-1.898608656725465,9.729838471478574,-4.216389633244693,1.82045828979194,30.715147366236806,-9.597966788090309,17.472049689440993,1.0191070942700127,1.0137656204754455,-0.1808578841053443,201910.70942700125,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.15__smart_money_score=60__accumulation_days_10=0__DS20=0.55,163,29,0.44171779141104295,1.850274688228239,-1.8403720876868135,9.615124168739554,-4.293342483165329,1.7719459373905022,30.715147366236785,-9.597966788090309,16.94478527607362,0.9931992939750123,0.9894675812807913,-0.185041762887712,199319.92939750123,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.0__smart_money_score=55__accumulation_days_10=0__DS20=0.55,179,30,0.45251396648044695,2.046316996638832,-1.6775173970803379,9.65458692393842,-4.242151004496542,1.8810767539288602,30.715147366236806,-9.597966788090307,17.687150837988828,0.9079628018500121,0.9685700734191723,-0.17616334717873006,190796.2801850012,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.0__smart_money_score=60__accumulation_days_10=0__DS20=0.55,172,30,0.4418604651162791,1.7155683513493574,-2.002177473768655,9.355536041954414,-4.3327394037129805,1.7094187633040827,30.715147366236785,-9.597966788090307,17.802325581395348,0.9053069642000118,0.9660011845823111,-0.17977466253515184,190530.6964200012,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.3__smart_money_score=55__accumulation_days_10=0__DS20=0.55,149,29,0.47651006711409394,2.3875726263032453,-1.3492264394118505,9.570314791878015,-4.1505644731302,2.0988567805354115,30.715147366236806,-9.597966788090309,16.825503355704697,0.9558102168500109,0.9545405284930383,-0.19415979760350854,195581.0216850011,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.3__smart_money_score=60__accumulation_days_10=0__DS20=0.55,150,30,0.44666666666666666,2.0742342456369474,-1.6103287881261497,9.611529573194035,-4.010088488656126,1.9347963560347876,30.715147366236803,-9.597966788090309,16.22,0.9438687702750117,0.9361617277483506,-0.19767274861246553,194386.87702750118,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.0__smart_money_score=60__accumulation_days_10=1__DS20=0.55,161,30,0.42857142857142855,1.5692103661928578,-2.077605354994944,9.246397958289203,-4.188680327879402,1.655604611925058,30.715147366236785,-9.597966788090307,17.4472049689441,0.7432047603000118,0.8642123569816234,-0.17713660021330646,174320.47603000118,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.0__smart_money_score=55__accumulation_days_10=1__DS20=0.55,166,30,0.4457831325301205,1.8677492844141421,-1.358774267297782,9.254229161088121,-4.073549746823625,1.8273053161154975,30.715147366236803,-9.597966788090307,17.813253012048193,0.7508004910700126,0.8634134833667205,-0.17199221988701352,175080.04910700125,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.15__smart_money_score=55__accumulation_days_10=1__DS20=0.55,159,30,0.4339622641509434,1.715434609997493,-2.0616680081653254,9.243868919465278,-4.056365027261144,1.7471223925759867,30.715147366236806,-9.597966788090327,17.38993710691824,0.7492613572200109,0.8517647215337891,-0.1754172158377144,174926.13572200108,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.15__smart_money_score=60__accumulation_days_10=1__DS20=0.55,157,30,0.42038216560509556,1.5961972946059233,-2.1821863417818927,9.373417762589526,-4.044424143711855,1.6809075287558894,30.715147366236785,-9.597966788090327,17.18471337579618,0.7335331352150112,0.8432032131290024,-0.18417093240702898,173353.3135215011,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.3__smart_money_score=60__accumulation_days_10=1__DS20=0.55,142,30,0.4647887323943662,2.2212185899522714,-1.2960569481008806,9.450083807648326,-4.056480151731145,2.0230967293633433,30.715147366236792,-9.597966788090313,16.52112676056338,0.6903221805150097,0.7712472688695075,-0.19032002467470666,169032.21805150097,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
accumulation_breakout_smt_v1__value_ratio_20=1.3__smart_money_score=55__accumulation_days_10=1__DS20=0.55,145,30,0.46206896551724136,2.158949703557922,-1.3382943944694052,9.335632267223696,-4.005636601129345,2.001946142617612,30.715147366236803,-9.597966788090313,16.448275862068964,0.6784216593300101,0.7608562034762741,-0.18754338582967145,167842.165933001,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
