fold,run,test_start,test_end,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
1,regime_switching,2024-05-08,2024-11-07,11,8,0.45454545454545453,1.3863421189515734,-1.862994460957667,7.852208076427,-4.00187951227795,1.6351083810194822,9.727391492032478,-7.387445613686041,31.454545454545453,-0.07131466455999924,-0.9361227539047263,-0.14586670762442988,92868.53354400008,0.0398156554788438,0.03534658463965612,-0.06994852079096436,-0.07071395509914491
2,regime_switching,2024-11-08,2025-05-07,22,18,0.36363636363636365,0.29605280010636503,-2.059426677158199,11.037337963525122,-5.841824436132924,1.0796370780780493,23.81726792464121,-14.508905357822455,24.09090909090909,-0.01105718114999954,-0.12198137837997886,-0.11753642254291541,98894.28188500005,0.006890337553305814,0.017857889365559654,-0.18157857929251697,-0.17499656540626984
3,regime_switching,2025-05-08,2025-11-07,26,17,0.5384615384615384,7.484224598196883,5.218950436357794,17.76450352914724,-4.5094341545785355,4.595976658467362,33.684704163925595,-7.349030804726598,18.807692307692307,0.5272736965200009,3.6685177188164975,-0.06609810839181218,152727.36965200008,0.2703097745100185,0.2775527684235728,-0.08082429932611379,-0.09357577107841608
4,regime_switching,2025-11-08,2026-05-07,39,25,0.358974358974359,1.7489722997034818,-3.2587520897334348,13.912619216124114,-5.0626699734920715,1.5389244809207796,37.76761800917724,-9.193199644309287,12.717948717948717,0.06072627570500133,0.8752907090495311,-0.0867266508675788,106072.62757050013,0.14075389891177226,0.13686494165979735,-0.16207884061915145,-0.1719545688518732
