symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
GAS,BREAKOUT_RETEST_ENTRY,2024-05-27,2024-05-28,70.24,68.0,74.0,2024-06-04,69.0,TIMEOUT,-1.47,5,Breakout 3 bars trước tại level 66 | Retest thành công (cách +4.6%) | Nến đóng xanh — support giữ vững
GAS,BREAKOUT_RETEST_ENTRY,2024-06-04,2024-06-05,69.3,67.0,73.0,2024-06-12,69.0,TIMEOUT,-0.62,5,Breakout 5 bars trước tại level 70 | Retest thành công (cách -1.3%) | Nến đóng xanh — support giữ vững
GAS,TREND_PULLBACK,2024-06-12,2024-06-13,69.38,67.0,73.0,2024-06-17,67.0,SL,-3.43,2,Uptrend: 69 > MA20(68) > MA60(67) | Breakout vùng 66 → recent high 70 | Pullback về vùng breakout (cách +3.9%) | Volume cạn — áp lực bán suy yếu
GAS,BREAKOUT_RETEST_ENTRY,2024-08-02,2024-08-05,66.81,65.0,70.0,2024-08-08,70.0,TP,4.77,3,Breakout 3 bars trước tại level 68 | Retest thành công (cách -0.1%) | Nến đóng xanh — support giữ vững
GAS,BREAKOUT_RETEST_ENTRY,2024-08-08,2024-08-09,70.24,68.0,74.0,2024-08-16,71.0,TIMEOUT,0.73,5,Breakout 7 bars trước tại level 68 | Retest thành công (cách +3.4%) | Nến đóng xanh — support giữ vững
GAS,BREAKOUT_RETEST_ENTRY,2024-08-16,2024-08-19,70.84,69.0,74.0,2024-08-26,72.0,TIMEOUT,1.81,5,Breakout 7 bars trước tại level 68 | Retest thành công (cách +3.4%) | Nến đóng xanh — support giữ vững
GAS,BREAKOUT_RETEST_ENTRY,2024-08-26,2024-08-27,72.38,70.0,76.0,2024-09-05,71.0,TIMEOUT,-1.42,5,Breakout 6 bars trước tại level 71 | Retest thành công (cách +1.9%) | Volume cạn 0.65× TB20
GAS,TREND_PULLBACK,2024-09-05,2024-09-06,72.38,71.0,74.0,2024-09-13,71.0,SL,-1.91,5,Uptrend: 71 > MA20(71) > MA60(68) | Breakout vùng 71 → recent high 73 | Pullback về vùng breakout (cách +1.0%) | Volume cạn — áp lực bán suy yếu
BID,BREAKOUT_RETEST_ENTRY,2024-03-11,2024-03-12,41.36,39.0,45.0,2024-03-18,41.0,TSL,-0.87,4,Breakout 12 bars trước tại level 41 | Retest thành công (cách +1.3%) | Volume cạn 0.72× TB20
BID,BULLISH_ENGULFING,2024-03-20,2024-03-21,43.48,41.0,47.0,2024-03-26,43.0,TIMEOUT,-0.37,3,Engulfing: [42–43] nuốt [42–43] (body 2.7%) | Volume xanh 4.1× bar đỏ
BID,BULLISH_ENGULFING,2024-04-11,2024-04-12,43.32,41.0,47.0,2024-04-15,41.0,SL,-5.36,1,Engulfing: [42–43] nuốt [42–43] (body 2.9%) | Volume xanh 1.9× bar đỏ
BID,BREAKOUT_RETEST_ENTRY,2024-07-29,2024-07-30,38.7,37.0,41.0,2024-08-05,37.0,SL,-4.39,4,Breakout 9 bars trước tại level 39 | Retest thành công (cách -0.8%) | Volume cạn 0.36× TB20 | Nến đóng xanh — support giữ vững
BID,BREAKOUT_RETEST_ENTRY,2024-08-06,2024-08-07,38.74,37.0,41.0,2024-08-14,38.0,TIMEOUT,-0.75,5,Breakout 15 bars trước tại level 39 | Retest thành công (cách -1.6%) | Volume cạn 0.68× TB20 | Nến đóng xanh — support giữ vững
BID,BREAKOUT_RETEST_ENTRY,2024-08-23,2024-08-26,41.52,40.0,44.0,2024-08-30,40.0,SL,-3.66,4,Breakout 3 bars trước tại level 40 | Retest thành công (cách +2.7%) | Nến đóng xanh — support giữ vững
BID,TREND_PULLBACK,2024-08-30,2024-09-04,39.64,38.0,42.0,2024-09-11,39.0,TIMEOUT,-0.4,5,Uptrend: 40 > MA20(39) > MA60(38) | Breakout vùng 40 → recent high 41 | Pullback về vùng breakout (cách +0.8%) | Volume cạn — áp lực bán suy yếu
BID,BREAKOUT_RETEST_ENTRY,2024-09-11,2024-09-12,39.64,38.0,42.0,2024-09-19,40.0,TIMEOUT,1.54,5,Breakout 14 bars trước tại level 40 | Retest thành công (cách -1.7%) | Volume cạn 0.61× TB20
BID,BREAKOUT_RETEST_ENTRY,2024-10-02,2024-10-03,40.7,40.0,42.0,2024-10-08,40.0,SL,-1.72,3,Breakout 4 bars trước tại level 41 | Retest thành công (cách -0.4%) | Nến đóng xanh — support giữ vững
BID,BREAKOUT_RETEST_ENTRY,2024-10-09,2024-10-10,40.82,40.0,42.0,2024-10-17,41.0,TIMEOUT,0.71,5,Breakout 9 bars trước tại level 41 | Retest thành công (cách -1.1%) | Nến đóng xanh — support giữ vững
BID,BREAKOUT_RETEST_ENTRY,2024-10-17,2024-10-18,41.44,40.0,44.0,2024-10-22,40.0,SL,-3.47,2,Breakout 15 bars trước tại level 41 | Retest thành công (cách +0.6%) | Nến đóng xanh — support giữ vững
BID,PIN_BAR,2024-11-22,2024-11-25,37.35,36.0,39.0,2024-11-28,38.0,TIMEOUT,0.88,3,Pin Bar: wick dưới 0 (4.6× thân) | Đóng gần đỉnh nến (18% từ đỉnh) | Tại support 37 (cách 0.9%)
BID,BULLISH_ENGULFING,2024-11-29,2024-12-02,38.33,37.0,40.0,2024-12-04,37.0,SL,-3.47,2,Engulfing: [38–38] nuốt [38–38] (body 1.4%) | Volume xanh 1.1× bar đỏ | Tại support 38
ACB,BREAKOUT_RETEST_ENTRY,2024-03-26,2024-03-27,19.62,19.0,21.0,2024-04-03,20.0,TIMEOUT,0.15,5,Breakout 3 bars trước tại level 20 | Retest thành công (cách -0.2%) | Volume cạn 0.56× TB20 | Nến đóng xanh — support giữ vững
ACB,BREAKOUT_RETEST_ENTRY,2024-05-30,2024-05-31,20.89,20.0,22.0,2024-06-07,21.0,TIMEOUT,-1.63,5,Breakout 5 bars trước tại level 20 | Retest thành công (cách +3.3%) | Nến đóng xanh — support giữ vững
ACB,BREAKOUT_RETEST_ENTRY,2024-06-07,2024-06-10,20.55,20.0,21.0,2024-06-12,20.0,SL,-2.68,2,Breakout 11 bars trước tại level 20 | Retest thành công (cách +2.9%) | Volume cạn 0.50× TB20 | Nến đóng xanh — support giữ vững
ACB,BREAKOUT_RETEST_ENTRY,2024-06-12,2024-06-13,20.51,20.0,21.0,2024-06-20,21.0,TIMEOUT,1.02,5,Breakout 14 bars trước tại level 20 | Retest thành công (cách +2.7%) | Nến đóng xanh — support giữ vững
ACB,PIN_BAR,2024-06-26,2024-06-27,20.05,20.0,20.0,2024-06-27,20.0,SL,-0.25,0,Pin Bar: wick dưới 0 (3.7× thân) | Đóng gần đỉnh nến (0% từ đỉnh) | Tại support 20 (cách 0.7%) | Tại MA60 (20)
ACB,BREAKOUT_RETEST_ENTRY,2024-07-31,2024-08-01,20.47,20.0,21.0,2024-08-02,20.0,SL,-2.44,1,Breakout 9 bars trước tại level 21 | Retest thành công (cách -1.0%) | Nến đóng xanh — support giữ vững
ACB,BULLISH_ENGULFING,2024-08-16,2024-08-19,20.05,20.0,20.0,2024-08-19,20.0,TP,-0.25,0,Engulfing: [20–20] nuốt [20–20] (body 2.1%) | Volume xanh 2.5× bar đỏ | Tại support 20
ACB,BULLISH_ENGULFING,2024-09-17,2024-09-18,20.47,20.0,21.0,2024-09-20,21.0,TP,2.59,2,Engulfing: [20–20] nuốt [20–20] (body 1.4%) | Volume xanh 1.1× bar đỏ | Tại support 20
ACB,BREAKOUT_RETEST_ENTRY,2024-09-30,2024-10-01,21.51,21.0,22.0,2024-10-08,21.0,TIMEOUT,-0.93,5,Breakout 4 bars trước tại level 22 | Retest thành công (cách -0.2%) | Nến đóng xanh — support giữ vững
ACB,TREND_PULLBACK,2024-10-08,2024-10-09,21.39,21.0,22.0,2024-10-10,22.0,TP,2.85,1,Uptrend: 21 > MA20(21) > MA60(20) | Breakout vùng 21 → recent high 22 | Pullback về vùng breakout (cách +2.8%) | Volume cạn — áp lực bán suy yếu
ACB,BREAKOUT_RETEST_ENTRY,2024-10-11,2024-10-14,21.85,21.0,23.0,2024-10-21,22.0,TIMEOUT,-1.33,5,Breakout 3 bars trước tại level 22 | Retest thành công (cách -0.4%) | Volume cạn 0.57× TB20
