symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
TCB,PV_BREAKOUT,2024-01-03,2024-01-04,15.4,15.0,16.0,2024-01-16,16.0,TSL,3.9,8,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TCB,PV_BREAKOUT,2024-02-07,2024-02-15,17.72,17.0,19.0,2024-03-11,19.0,TSL,7.22,17,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TCB,PV_BREAKOUT,2024-03-21,2024-03-22,21.5,21.0,22.0,2024-03-22,21.0,SL,-2.33,0,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TCB,PV_BREAKOUT,2024-05-16,2024-05-17,23.51,23.0,24.0,2024-05-21,23.0,SL,-2.17,2,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TCB,PV_BREAKOUT,2024-10-01,2024-10-02,23.92,23.0,25.0,2024-10-24,23.0,SL,-3.85,16,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TCB,PV_BREAKOUT,2025-02-07,2025-02-10,25.09,24.0,27.0,2025-03-13,27.0,REVERSAL_DOUBLE_TOP,6.02,23,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TCB,PV_WASHOUT,2025-04-04,2025-04-08,24.35,23.0,26.0,2025-04-09,22.0,SL,-10.8,1,25.0,"pv_signal=washout | pv_score=25 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,ABSORPTION"
TCB,PV_BREAKOUT,2025-05-12,2025-05-13,28.74,28.0,30.0,2025-06-09,29.0,TSL,0.9,19,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TCB,PV_BREAKOUT,2025-07-18,2025-07-21,35.36,34.0,37.0,2025-07-22,34.0,SL,-3.85,1,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TCB,PV_BREAKOUT,2025-08-20,2025-08-21,40.23,38.0,44.0,2025-08-22,38.0,SL,-5.54,1,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TCB,PV_BREAKOUT,2025-10-13,2025-10-14,41.75,40.0,44.0,2025-10-20,40.0,SL,-4.19,4,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TCB,PV_BREAKOUT,2026-01-06,2026-01-07,36.25,35.0,38.0,2026-01-21,35.0,SL,-3.45,10,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
