symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
CEO,PV_PULLBACK,2023-12-25,2023-12-26,18.77,18.0,20.0,2024-01-11,20.0,REVERSAL_MA20_BREAK,9.22,11,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-01-11,2024-01-12,20.31,19.0,22.0,2024-01-16,19.0,SL,-7.98,2,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-01-18,2024-01-19,19.95,19.0,21.0,2024-02-16,18.0,SL,-8.62,15,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_WASHOUT,2024-02-16,2024-02-19,19.5,19.0,20.0,2024-03-13,18.0,SL,-6.51,17,30.0,"pv_signal=washout | pv_score=30 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
CEO,PV_PULLBACK,2024-03-13,2024-03-14,19.69,19.0,21.0,2024-03-27,21.0,REVERSAL_DOUBLE_TOP,8.74,9,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-03-27,2024-03-28,21.41,20.0,24.0,2024-04-11,20.0,SL,-7.66,10,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-04-12,2024-04-15,20.31,19.0,22.0,2024-04-15,19.0,SL,-6.45,0,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2024-05-14,2024-05-15,16.69,16.0,18.0,2024-05-21,16.0,SL,-5.93,4,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2024-05-23,2024-05-24,17.42,17.0,18.0,2024-05-24,17.0,SL,-2.41,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-05-27,2024-05-28,16.32,16.0,17.0,2024-06-10,15.0,SL,-6.07,9,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-06-10,2024-06-11,16.87,16.0,18.0,2024-06-20,16.0,SL,-5.16,7,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-07-10,2024-07-11,15.33,15.0,16.0,2024-07-16,15.0,SL,-4.76,3,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-07-18,2024-07-19,15.51,15.0,16.0,2024-07-19,15.0,SL,-3.29,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-07-31,2024-08-01,14.38,14.0,15.0,2024-08-01,14.0,SL,-2.64,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_BULL_EXPANSION,2024-08-16,2024-08-19,14.57,14.0,15.0,2024-08-29,15.0,REVERSAL_DOUBLE_TOP,5.9,8,15.0,pv_signal=bullish_volume_expansion | pv_score=15 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_PULLBACK,2024-09-05,2024-09-06,15.05,14.0,17.0,2024-09-13,13.0,SL,-13.95,5,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-09-23,2024-09-24,14.57,14.0,15.0,2024-10-04,14.0,REVERSAL_MA20_BREAK,-0.62,8,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-10-04,2024-10-07,14.0,13.0,16.0,2024-11-15,13.0,SL,-7.5,29,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_WASHOUT,2024-11-20,2024-11-21,13.71,13.0,15.0,2024-11-26,13.0,SL,-5.54,3,30.0,"pv_signal=washout | pv_score=30 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
CEO,PV_PULLBACK,2024-11-27,2024-11-28,13.52,13.0,14.0,2024-12-04,13.0,SL,-4.22,4,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_BULL_EXPANSION,2024-12-05,2024-12-06,13.9,13.0,15.0,2024-12-18,13.0,SL,-6.83,8,15.0,pv_signal=bullish_volume_expansion | pv_score=15 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_PULLBACK,2024-12-18,2024-12-19,13.33,13.0,14.0,2024-12-19,13.0,SL,-2.48,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2024-12-23,2024-12-24,12.1,11.0,14.0,2024-12-24,13.0,REVERSAL_MA20_BREAK,6.28,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-01-21,2025-01-22,11.52,11.0,12.0,2025-01-23,11.0,SL,-6.6,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-01-23,2025-01-24,11.43,11.0,12.0,2025-02-28,14.0,REVERSAL_DOUBLE_TOP,21.61,20,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-03-05,2025-03-06,13.43,13.0,14.0,2025-03-07,13.0,SL,-5.66,1,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_BULL_EXPANSION,2025-03-07,2025-03-10,14.29,14.0,15.0,2025-03-11,14.0,SL,-2.03,1,30.0,pv_signal=bullish_volume_expansion | pv_score=30 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_PULLBACK,2025-03-13,2025-03-14,14.0,13.0,16.0,2025-03-19,13.0,TSL,-6.14,3,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-03-19,2025-03-20,14.48,14.0,15.0,2025-03-24,14.0,SL,-3.31,2,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-03-24,2025-03-25,14.38,14.0,15.0,2025-03-26,14.0,SL,-3.34,1,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-03-26,2025-03-27,13.71,13.0,15.0,2025-04-03,13.0,SL,-5.18,5,35.0,"pv_signal=constructive_pullback | pv_score=35 | pv_bias=bullish | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_WASHOUT,2025-04-04,2025-04-08,11.43,11.0,12.0,2025-04-08,11.0,SL,-3.76,0,15.0,pv_signal=washout | pv_score=15 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL
CEO,PV_PULLBACK,2025-04-29,2025-05-05,11.9,11.0,13.0,2025-05-06,11.0,SL,-7.56,1,0.0,"pv_signal=constructive_pullback | pv_score=0 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
