strategy,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_bars,state,score
MC_RESET_DS_IMPROVING,GVR,2021-01-05,2021-01-06,2021-02-03,27.32,22.99,-15.84919472913617,20,NEUTRAL,54.11827956989247
MC_RESET_DS_IMPROVING,CTG,2021-01-13,2021-01-14,2021-02-18,18.11,17.09,-5.6322473771396995,20,NEUTRAL,46.76063829787234
MC_RESET_DS_IMPROVING,TPB,2021-01-14,2021-01-15,2021-02-19,9.67,9.56,-1.1375387797311214,20,NEUTRAL,60.851063829787236
MC_RESET_DS_IMPROVING,POW,2021-01-14,2021-01-15,2021-02-19,11.54,10.61,-8.058925476603118,20,NEUTRAL,60.537234042553195
MC_RESET_DS_IMPROVING,VIC,2021-01-15,2021-01-18,2021-02-22,49.77,48.75,-2.0494273658830684,20,NEUTRAL,48.70744680851064
MC_RESET_DS_IMPROVING,VNM,2021-01-15,2021-01-18,2021-02-22,86.87,81.78,-5.85933003338322,20,NEUTRAL,49.1436170212766
MC_RESET_DS_IMPROVING,PLX,2021-01-15,2021-01-18,2021-02-22,48.15,49.18,2.139148494288684,20,NEUTRAL,40.037234042553195
MC_RESET_DS_IMPROVING,GAS,2021-01-15,2021-01-18,2021-02-22,59.81,57.34,-4.129744189934791,20,NEUTRAL,50.351063829787236
MC_RESET_DS_IMPROVING,SAB,2021-01-18,2021-01-19,2021-02-23,77.69,72.11,-7.182391556184834,20,NEUTRAL,40.54787234042553
MC_RESET_DS_IMPROVING,VCB,2021-01-18,2021-01-19,2021-02-23,44.89,43.55,-2.9850746268656794,20,NEUTRAL,45.22340425531915
MC_RESET_DS_IMPROVING,VIB,2021-01-20,2021-01-21,2021-02-25,8.91,10.24,14.927048260381593,20,NEUTRAL,39.97340425531915
MC_RESET_DS_IMPROVING,BVH,2021-01-20,2021-01-21,2021-02-25,55.65,51.58,-7.313566936208446,20,NEUTRAL,62.18085106382979
MC_RESET_DS_IMPROVING,MSN,2021-01-20,2021-01-21,2021-02-25,74.99,73.43,-2.0802773703160264,20,NEUTRAL,61.52127659574468
MC_RESET_DS_IMPROVING,MBB,2021-01-20,2021-01-21,2021-02-25,8.36,9.13,9.210526315789492,20,NEUTRAL,53.95212765957447
MC_RESET_DS_IMPROVING,HDB,2021-01-20,2021-01-21,2021-02-25,8.37,8.31,-0.7168458781361855,20,NEUTRAL,60.37234042553192
