symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
SSI,SPRING,2025-07-29,2025-07-30,29.85,28.0,33.0,2025-08-05,30.0,TSL,0.5,4,HH: đỉnh 30 > 29 | HL: đáy 28 > 27 | Volume phiên tăng > giảm
SSI,BB_SQUEEZE,2025-08-06,2025-08-07,31.8,30.0,34.0,2025-08-11,32.0,TSL,0.0,2,BB squeeze: width 0.230 ≈ min 20 phiên (0.230) | Giá trên BB mid — bias bullish
SSI,BB_SQUEEZE,2025-08-11,2025-08-12,33.67,32.0,36.0,2025-08-13,32.0,SL,-4.96,1,BB squeeze: width 0.211 ≈ min 20 phiên (0.205) | Giá trên BB mid — bias bullish
SSI,BB_SQUEEZE,2025-08-13,2025-08-14,32.86,31.0,36.0,2025-08-20,31.0,SL,-5.66,4,BB squeeze: width 0.211 ≈ min 20 phiên (0.205) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
SSI,BB_SQUEEZE,2025-08-20,2025-08-21,32.15,31.0,34.0,2025-08-26,32.0,TSL,0.96,3,BB squeeze: width 0.165 ≈ min 20 phiên (0.165) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
SSI,SPRING,2025-08-26,2025-08-27,35.93,34.0,39.0,2025-08-28,36.0,TSL,0.11,1,HH: đỉnh 34 > 33 | HL: đáy 31 > 31 | Volume phiên tăng > giảm
SSI,SPRING,2025-08-28,2025-08-29,38.15,36.0,41.0,2025-09-05,36.0,SL,-5.64,3,HH: đỉnh 34 > 33 | HL: đáy 31 > 31 | Volume phiên tăng > giảm
SSI,SPRING,2025-09-05,2025-09-08,35.8,34.0,38.0,2025-09-09,36.0,TSL,0.56,1,HH: đỉnh 39 > 34 | HL: đáy 36 > 31 | Volume phiên tăng > giảm
SSI,RETEST,2025-09-10,2025-09-11,37.13,35.0,40.0,2025-09-18,36.0,TIMEOUT,-2.4,5,Retest vùng breakout 37 (cách +0.6%) | Volume cạn 0.73× TB20 | Giá vẫn giữ trên vùng breakout
SSI,SPRING,2025-09-18,2025-09-19,36.42,35.0,39.0,2025-09-22,35.0,SL,-3.9,1,HH: đỉnh 38 > 38 | HL: đáy 37 > 35 | Volume phiên tăng > giảm
SSI,NR7,2025-09-23,2025-09-24,35.09,33.0,38.0,2025-09-29,34.0,TIMEOUT,-2.54,3,"NR7: range 1 nhỏ nhất 7 phiên — sắp bung | ATR 4.0% — SL hẹp, risk thấp"
