universe,run,feature_rows,symbols_loaded,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
HNX30,rotation_monthly_smt_money_cycle_v1,37034,30,154,30,0.42857142857142855,1.4440844411194118,-1.7497529915224537,11.643163567192927,-6.205224903435726,1.4072612695407272,34.33557241230502,-16.893788985452684,13.980519480519481,0.5338431479950085,0.8614904268094588,-0.29025861259209607,153384.31479950086,0.46500610973640466,0.34183993943029733,-0.49855371595419895,-0.48517152838911637
HNX30,leader_pullback_market_healthy_v2,37034,30,176,30,0.39204545454545453,2.0202315560726665,-3.1313854528883187,15.187219452271076,-6.470629797550607,1.5135508912851419,32.94176628478355,-17.490891880861522,23.522727272727273,0.4216926179550069,0.6047726789327444,-0.21653030586811028,142169.2617955007,0.46500610973640466,0.34183993943029733,-0.49855371595419895,-0.48517152838911637
HNX30,leader_pullback_market_regime_v3,37034,30,156,30,0.3525641025641026,1.1702668889564767,-3.5641015971322063,14.468152035059699,-6.0711557153571585,1.2977260050876143,30.88911351361781,-17.490891880861522,23.814102564102566,0.47557874836500735,0.5972296269734091,-0.26736097998653163,147557.87483650073,0.46500610973640466,0.34183993943029733,-0.49855371595419895,-0.48517152838911637
HNX30,combined,37034,30,366,30,0.4371584699453552,1.391176307278412,-1.4457678609085118,10.495980854548751,-5.680516544970396,1.4351191612448382,32.941766284783526,-17.490891880861522,15.96174863387978,0.4390471457400136,0.5862006476583865,-0.27005952155019053,143904.71457400135,0.46500610973640466,0.34183993943029733,-0.49855371595419895,-0.48517152838911637
HNX30,leader_pullback_market_healthy,37034,30,182,29,0.37362637362637363,1.661054356046193,-3.0661085562000854,14.68557105384778,-6.107955604045983,1.4341646993993995,32.94176628478355,-17.490891880861522,23.34065934065934,0.38754259138500613,0.5683479709312468,-0.23081190333924695,138754.2591385006,0.46500610973640466,0.34183993943029733,-0.49855371595419895,-0.48517152838911637
UPCOM30,money_cycle_reset_smt_confirm,27442,30,59,20,0.4067796610169492,3.26023840218401,-3.0955915997895107,15.745223242244698,-5.300894059571891,2.0367742474445443,34.426353856969826,-15.254787606196894,23.220338983050848,1.172789527315008,1.1292760583912287,-0.18009682898761992,217278.9527315008,0.37893297603293674,-0.04401311389557239,-0.44427910953999483,-0.08750185130661925
UPCOM30,leader_pullback_market_healthy,27442,30,133,24,0.3684210526315789,2.2411492021934634,-2.9466594136560014,15.460109659820025,-5.469911064755364,1.6487283238790682,32.580119514710745,-17.371710719982474,18.2406015037594,1.2624399054550088,1.0894060698473451,-0.2513549463716207,226243.99054550088,0.37893297603293674,-0.04401311389557239,-0.44427910953999483,-0.08750185130661925
UPCOM30,smart_money_strong_market_healthy,27442,30,80,23,0.475,4.3928747312901,-0.29975012493751085,16.04345256762714,-6.148124263491034,2.3609647563957004,38.4725692709201,-20.23980009995001,14.825,1.0245284451200098,0.7791581993758824,-0.2105721690598542,202452.84451200097,0.37893297603293674,-0.04401311389557239,-0.44427910953999483,-0.08750185130661925
UPCOM30,composite_edge_score_v2,27442,30,287,29,0.37282229965156793,0.9129636980929273,-1.7039789964172798,10.939464950800055,-5.047234268794087,1.2884094176891694,47.5954679522984,-19.05524267569184,16.766550522648085,0.43959934141501056,0.5741243180607422,-0.2680592352173611,143959.93414150106,0.37893297603293674,-0.04401311389557239,-0.44427910953999483,-0.08750185130661925
UPCOM30,composite_edge_score_v1,27442,30,294,29,0.3877551020408163,1.3606081864520305,-1.6075326795796987,11.73830569021121,-5.211933565928781,1.4263919860886203,47.5954679522984,-19.05524267569184,16.112244897959183,0.4071457494550106,0.5587496629693893,-0.261725556575385,140714.57494550105,0.37893297603293674,-0.04401311389557239,-0.44427910953999483,-0.08750185130661925
VN100,composite_edge_score_v1,122719,100,239,88,0.45188284518828453,2.5076578800190967,-1.815579770584644,11.81736890627624,-5.167523729414274,1.8853447392995415,30.483915344136,-12.331373499690818,24.489539748953973,1.0637041624750085,1.306754629151397,-0.15001086102625327,206370.41624750083,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
VN100,accumulation_breakout_smt_v1,122719,100,290,95,0.44482758620689655,1.8536626939651448,-2.0916758229034054,10.06520468962013,-4.725771575845371,1.7065291840975905,36.83141289437586,-13.176166160462188,15.982758620689655,1.0850940481000149,1.0443735370195446,-0.19932198467671636,208509.4048100015,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
VN100,accumulation_breakout_smt_v2,122719,100,285,96,0.45964912280701753,2.1405612739814077,-1.790431081732646,10.190668668581223,-4.707257353892462,1.8415576277007897,36.83141289437587,-13.176166160462175,16.557894736842105,1.0662573432750158,1.0123071414472964,-0.18157041761080717,206625.73432750156,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
VN100,mean_reversion_uptrend_ma20_v1,122719,100,291,93,0.4054982817869416,1.3935501475012015,-1.7913118884028716,9.261356193300351,-3.9729302768011117,1.5900088744644916,30.1785646037085,-12.935029317024652,16.079037800687285,0.7399274659750146,0.918654118862811,-0.1905675837538673,173992.74659750145,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
VN100,composite_edge_score_v2,122719,100,231,88,0.42857142857142855,2.21287852429021,-2.1347240490184354,12.007200782976668,-5.132863169724633,1.7544595071907247,32.10803947921559,-12.59495746905263,25.333333333333332,0.6308414935000073,0.902786032647234,-0.16285188331875344,163084.14935000072,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
VN100_HNX30_UPCOM30,composite_edge_score_v2,187195,160,236,116,0.4491525423728814,2.753187178930609,-1.6738701113331886,12.58430683513834,-5.262956540746463,1.9496741250300924,34.78298919280132,-16.730413971957233,24.11864406779661,0.6239202957650087,0.738006064565018,-0.30779330456696063,162392.02957650088,0.5631672170136963,-0.039125324401297235,-0.43096555588807517,-0.11119846636979636
VN100_HNX30_UPCOM30,regime_switching,187195,160,246,121,0.36585365853658536,1.899603065294732,-3.2034922912248556,14.142103191959317,-5.163377777011758,1.580148894778469,30.043804184864122,-17.907540188077903,22.516260162601625,0.3963216096200084,0.5157438916464302,-0.2619043664210753,139632.16096200084,0.5631672170136963,-0.039125324401297235,-0.43096555588807517,-0.11119846636979636
VN100_HNX30_UPCOM30,rotation_weekly_smt_money_cycle_v1,187195,160,601,146,0.47753743760399336,0.1221878589706403,-0.2997501249375048,3.455767148983356,-2.9247460780791985,1.0799621958144936,21.399153730900622,-18.524526983819918,4.78036605657238,0.08277616896002771,0.21248949842601927,-0.2190802376051445,108277.61689600277,0.5631672170136963,-0.039125324401297235,-0.43096555588807517,-0.11119846636979636
VN100_HNX30_UPCOM30,combined,187195,160,266,129,0.424812030075188,2.2752951934728736,-1.907818671309506,12.175935025433661,-5.036942068040649,1.7853459334882325,31.98546185037846,-16.30284291630646,22.26691729323308,-0.8277967537749874,0.04583028526198152,-0.9381405065651565,17220.324622501263,0.5631672170136963,-0.039125324401297235,-0.43096555588807517,-0.11119846636979636
VN100_HNX30_UPCOM30,composite_edge_score_v1,187195,160,249,123,0.4457831325301205,2.4990197195325825,-1.7499355776656973,12.253763781127324,-5.347187460445794,1.8432658910206094,30.04380418486414,-16.730413971957233,23.353413654618475,-0.2928179344099918,0.03777556397449398,-0.6516160858862159,70718.20655900081,0.5631672170136963,-0.039125324401297235,-0.43096555588807517,-0.11119846636979636
VN30,composite_edge_score_v2,37467,30,215,30,0.42790697674418604,2.5119714345206887,-2.080111729849357,12.232895138447532,-4.758963368416463,1.9226472316544134,33.32010157711846,-10.808942366580219,26.05581395348837,0.9940048370700099,1.18644497950223,-0.17760133124149435,199400.483707001,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
VN30,breakout_after_accumulation_v3,37467,30,129,30,0.3798449612403101,1.3793936797106092,-2.5786129792246655,10.141638354413338,-3.987481183544812,1.5578138694954322,30.715147366236803,-9.889792308927209,15.534883720930232,1.0900941263750132,1.122903339568291,-0.14660183530244209,209009.41263750131,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
VN30,composite_edge_score_v1,37467,30,226,30,0.42035398230088494,2.5559636005179036,-2.069528654593351,12.737844522372722,-4.827843174872996,1.9133529881741567,33.320101577118436,-11.514742112947639,25.02654867256637,0.8838418175100085,1.1202064650087529,-0.18658998724136433,188384.18175100084,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
VN30,accumulation_breakout_smt_v2,37467,30,152,30,0.4144736842105263,1.0542185337802015,-2.1298958483884376,8.450524766822339,-4.181369024440636,1.4305917758867654,30.37724983662015,-10.002779015456346,17.085526315789473,0.9177108533550107,1.002247817491594,-0.17742044877797292,191771.08533550106,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
VN30,accumulation_breakout_smt_v1,37467,30,142,30,0.4225352112676056,1.2561306760081763,-1.9806157846188814,8.549638138430813,-4.080582101374241,1.5330736225380335,30.37724983662015,-10.002779015456346,16.845070422535212,0.6410257163300099,0.8337482631869155,-0.16680402694133456,164102.571633001,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
