setup_type,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BB_SQUEEZE,109,0.48623853211009177,0.002971881137144531,3912439.3287261855,1.0765025647628603
KIJUN_BOUNCE,2,1.0,0.07899940357769572,3073652.060015809,inf
BULLISH_ENGULFING,9,0.5555555555555556,0.018190416581175532,2885927.364665244,1.7814185746426607
FLAG_PENNANT,4,0.75,0.03383257736580133,2701338.0094086155,3.5560531430407964
KUMO_BREAKOUT,1,1.0,0.1304176764312961,2215222.5254400037,inf
ADX_TREND,28,0.42857142857142855,0.004500789755294219,2186214.1526041906,1.149673135466373
DOUBLE_BOTTOM,29,0.41379310344827586,0.0020248752866580785,1502405.6231079213,1.1143914801667136
TK_CROSS,1,1.0,0.027415321774091925,538322.26346552,inf
AROON_TREND_SHIFT,3,0.3333333333333333,-0.006457208037663077,179323.34518251196,1.1067332057393116
MA_PULLBACK,2,0.5,0.0009456561888007212,139460.07277700305,1.1108855547513017
SUPERTREND_PULLBACK,5,0.4,-0.0013687693128660542,-14177.891708996147,0.9934337062987386
TREND_PULLBACK,3,0.3333333333333333,-0.00709988144899915,-497056.65518014506,0.7466723047222543
PIN_BAR,1,0.0,-0.04659226365394747,-850873.3944479972,0.0
OVERSOLD_MEAN_REVERSION,32,0.40625,-0.002636713333833007,-1386874.6345470827,0.910836726357641
BREAKOUT_RETEST_ENTRY,6,0.3333333333333333,-0.014500753326897287,-1768872.400147425,0.4931010057609119
SPRING,48,0.375,-0.0018456905395361587,-3004974.9802819304,0.87704354859925
OBV_ACCUMULATION,6,0.16666666666666666,-0.031845679692735,-3183211.4125954024,0.3045864083176546
MACD_CROSSOVER,34,0.4117647058823529,-0.005271836210891974,-3194914.526390245,0.8307282723012327
GOLDEN_CROSS,13,0.3076923076923077,-0.01410442058718291,-3900945.2421283107,0.5271385050451187
MOMENTUM_SURGE,25,0.36,-0.009191189093479876,-5621918.568614427,0.6141361983167121
NR7,19,0.2631578947368421,-0.018372634955031563,-6167904.835003659,0.3982302763629507
HAMMER,9,0.1111111111111111,-0.040781371238369515,-6575164.615432717,0.06496342962973486
BREAKOUT,63,0.4126984126984127,-0.005935239395365428,-6632768.723494437,0.8160971134678259
RETEST,37,0.35135135135135137,-0.010206621736185844,-6707409.130817829,0.6347109723344168
