run,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
VN30_family_baseline,235,30,0.451063829787234,1.7138963488746857,-1.3896085625748387,8.667923481295276,-4.000265480866265,1.7805017676680899,30.715147366236806,-9.597966788090332,20.48085106382979,0.6534199499250093,0.8799849209895064,-0.1472970906266835,165341.99499250093,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_router_baseline,241,30,0.4149377593360996,1.4180357492744353,-2.1821863417819176,9.226600382555652,-4.119953352343451,1.5882918215218123,29.888373343208908,-9.984917255657875,19.680497925311204,0.5091051657350085,0.7380902753086577,-0.1690894630902896,150910.51657350085,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_family_kalman_loose,249,30,0.42168674698795183,1.4358075702849862,-1.9252976772483226,9.034103888522186,-4.104616828429639,1.6048678096060711,30.71514736623679,-11.344388584151032,19.265060240963855,0.5532530790600094,0.760270932843084,-0.14120254618193306,155325.30790600093,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_router_kalman_loose,240,30,0.42083333333333334,1.2618124977454603,-2.0814707845095946,8.9424169515245,-4.319058364352979,1.5044314934099874,30.71514736623681,-11.344388584151023,19.504166666666666,0.46667983616500863,0.6654213292467953,-0.17704042061916314,146667.98361650086,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_family_kalman_trend_only,240,30,0.44166666666666665,1.329899584097016,-2.0890146896151456,8.466402419910647,-4.315393703934663,1.55195652268959,29.888373343208908,-11.344388584151032,18.916666666666668,0.558835184230009,0.7635319883053111,-0.1407994430129209,155883.5184230009,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_router_kalman_trend_only,236,30,0.4322033898305085,1.4122794701211017,-2.0890146896151487,8.955023246150581,-4.329212060886415,1.5745383077281685,30.715147366236803,-11.344388584151044,19.377118644067796,0.392670643395008,0.5933591655505046,-0.17929370092188202,139267.0643395008,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_family_kalman_setup_aware,232,30,0.43103448275862066,1.3649769850122158,-2.1996253164991146,8.914994025858995,-4.354732894417162,1.5509064543503783,29.88837334320893,-11.344388584151032,19.620689655172413,0.45728786087500883,0.6668188019314313,-0.14062869491139074,145728.7860875009,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_router_kalman_setup_aware,220,30,0.43636363636363634,1.6281489862377059,-2.081470784509598,9.322373730680159,-4.328670170749998,1.6673299912558215,30.71514736623682,-11.344388584151023,19.78181818181818,0.691790912815009,0.8841355928939512,-0.18548986969532322,169179.0912815009,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_family_kalman_strict,218,30,0.44495412844036697,1.93922268403789,-1.9119531669868959,9.684382362925295,-4.269706975896642,1.8182777360933475,29.88837334320893,-11.344388584151044,20.279816513761467,0.5367018416700078,0.7640283085550628,-0.1512406496263936,153670.18416700079,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
VN30_router_kalman_strict,215,30,0.4372093023255814,1.6559106251603457,-1.7084501729234893,9.056038310691712,-4.092948899136749,1.7188754623665774,29.888373343208922,-9.984917255657873,19.595348837209304,0.5338815778250083,0.7672717027355148,-0.1889879254074437,153388.15778250084,0.6677319620094422,0.6502352228875887,-0.28078848317883753,-0.2671409796797619
