run,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
VN100_recent_family_baseline,133,80,0.47368421052631576,3.1515147514798962,-0.9030799275097428,11.694836213353236,-4.537474564206109,2.3196499381059255,36.83141289437588,-12.978394617720022,13.962406015037594,0.5292041986900045,2.09887317918347,-0.10780697189180466,152920.41986900044,0.28090637836173027,0.2780513319834177,-0.213223266502365,-0.15924780650469728
VN100_recent_router_baseline,129,76,0.4496124031007752,3.0379249723935042,-1.8127987991796681,12.323234580171945,-4.5472575241015605,2.21383276224275,36.83141289437588,-12.978394617720022,13.806201550387597,0.43487631117500447,1.8332126966171103,-0.1160463022648659,143487.63111750045,0.28090637836173027,0.2780513319834177,-0.213223266502365,-0.15924780650469728
VN100_recent_family_kalman_setup_aware,128,71,0.4375,2.493715297021633,-1.460679448631457,11.354466588786002,-4.397980152128432,2.00802447619143,29.88837334320893,-12.978394617720042,14.5234375,0.48883464437500423,2.054260916737752,-0.11178725580591553,148883.46443750043,0.28090637836173027,0.2780513319834177,-0.213223266502365,-0.15924780650469728
VN100_recent_router_kalman_setup_aware,130,75,0.4230769230769231,2.125817504924026,-1.9452358506893734,11.475415602204484,-4.730554433081642,1.778925682812182,29.88837334320893,-12.978394617720031,13.838461538461539,0.4022196573050041,1.7291012334426341,-0.1318686492074438,140221.9657305004,0.28090637836173027,0.2780513319834177,-0.213223266502365,-0.15924780650469728
VN100_recent_family_kalman_strict,127,76,0.44881889763779526,2.8638790620447625,-1.448664656148224,12.197820351101567,-4.736615987615779,2.0969635037534857,29.88837334320893,-12.978394617720042,14.645669291338583,0.5206478774200043,2.0799213143891606,-0.1102107746295733,152064.78774200042,0.28090637836173027,0.2780513319834177,-0.213223266502365,-0.15924780650469728
VN100_recent_router_kalman_strict,124,72,0.4435483870967742,2.733990218298089,-1.2521850057498982,12.03235725463729,-4.677751622262143,2.0503460167113636,29.88837334320893,-12.978394617720031,14.524193548387096,0.4360759180250049,1.780538990723614,-0.1102107746295733,143607.59180250048,0.28090637836173027,0.2780513319834177,-0.213223266502365,-0.15924780650469728
