hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,run
breakout_after_accumulation_v3__kalman_strict,VPB,2025-07-09,2025-07-21,19.8099,21.5892,600,11885.939999999999,12927.61296,1041.6729600000017,8.763908954613617,TRAILING_ATR_STOP,8,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,HDB,2025-07-09,2025-07-23,18.2091,19.810090000000002,700,12746.369999999999,13839.328874000003,1092.9588740000036,8.574667721084541,TRAILING_ATR_STOP,10,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,MSB,2025-06-17,2025-07-28,10.255125,11.91404,1800,18459.225,21402.381456,2943.1564560000006,15.944095464462894,TRAILING_ATR_STOP,29,VN100_recent_router_kalman_strict
compression_breakout_smt_v1__kalman_strict,TCB,2025-06-18,2025-07-29,31.575779999999998,34.812585,500,15787.89,17371.479915,1583.5899150000005,10.030408845007159,TRAILING_ATR_STOP,29,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,VRE,2025-07-18,2025-07-29,29.814899999999998,29.3853,500,14907.449999999999,14663.2647,-244.1852999999992,-1.638008512522257,ATR_STOP,7,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,VPB,2025-07-21,2025-07-29,21.6108,25.087450000000004,600,12966.480000000001,15022.365060000004,2055.8850600000023,15.855382956669828,TRAILING_ATR_STOP,6,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,SSB,2025-07-18,2025-07-30,19.959974999999996,19.840075000000002,700,13971.982499999998,13860.276395,-111.70610499999748,-0.799500750877676,ATR_STOP,8,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,MSB,2025-07-28,2025-07-30,11.92596,11.494250000000001,1900,22659.324,21795.39685,-863.9271499999995,-3.8126783923474483,ATR_STOP,2,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,HDB,2025-07-29,2025-07-30,21.910949999999996,20.419785,700,15337.664999999997,14265.261801,-1072.4031989999967,-6.991958678195129,STOP_LOSS,1,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,HSG,2025-07-29,2025-07-30,15.087539999999999,14.11294,1000,15087.539999999999,14084.71412,-1002.8258799999985,-6.646715634225318,ATR_STOP,1,VN100_recent_router_kalman_strict
mean_reversion_uptrend_ma50_v1__kalman_strict,NT2,2025-07-14,2025-08-05,18.879435,22.058965,1400,26431.209000000003,30820.785898,4389.576897999996,16.60755245058974,TRAILING_ATR_STOP,16,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,SHB,2025-08-01,2025-08-05,15.277634999999998,17.091450000000002,2100,32083.033499999998,35820.260910000005,3737.227410000007,11.64860987973599,TRAILING_ATR_STOP,2,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,DPM,2025-07-23,2025-08-11,23.43171,29.88505,600,14059.026,17895.16794,3836.1419399999995,27.285972299930304,TRAILING_ATR_STOP,13,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,MWG,2025-07-09,2025-08-13,66.57327000000001,72.46375,100,6657.327000000001,7231.88225,574.5552499999985,8.630419536249285,TRAILING_ATR_STOP,25,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,VPB,2025-07-29,2025-08-19,25.11255,32.68365000000001,600,15067.529999999999,19570.969620000007,4503.439620000008,29.88837334320893,TAKE_PROFIT,15,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,KBC,2025-08-01,2025-08-20,32.016,40.029975,1000,32016.0,39949.915049999996,7933.915049999996,24.78109398425786,TRAILING_ATR_STOP,13,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,TPB,2025-08-05,2025-08-20,16.62831,20.46976,2000,33256.619999999995,40857.640960000004,7601.020960000009,22.85566290260408,TRAILING_ATR_STOP,11,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,NVL,2025-08-05,2025-08-20,18.759375,17.991,1800,33766.875,32319.0324,-1447.8426,-4.28776011994003,STOP_LOSS,11,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,LPB,2025-08-13,2025-08-20,38.51925,42.878550000000004,300,11555.775,12837.837870000001,1282.0628700000016,11.094564146498193,TRAILING_ATR_STOP,5,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,CII,2025-08-20,2025-08-21,25.95297,24.797595,1200,31143.564000000002,29697.599772,-1445.9642280000007,-4.642899020805713,STOP_LOSS,1,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,VIB,2025-08-11,2025-08-22,19.399695,23.218385,300,5819.9085000000005,6951.584469,1131.675969,19.444909984409545,TRAILING_ATR_STOP,9,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,DXG,2025-08-11,2025-08-22,21.860925,20.739625,200,4372.185,4139.62915,-232.55585000000065,-5.318984672423528,STOP_LOSS,9,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,DCM,2025-08-11,2025-08-22,42.021,39.480250000000005,100,4202.1,3940.1289500000007,-261.97104999999965,-6.234288807976956,STOP_LOSS,9,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,DIG,2025-08-20,2025-08-22,23.29164,21.70914,1300,30279.132,28165.438236,-2113.6937639999996,-6.980694704194293,STOP_LOSS,2,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,VPI,2025-08-19,2025-08-25,57.72885,55.07245,300,17318.655,16488.69153,-829.9634699999988,-4.792309044784361,STOP_LOSS,4,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,STB,2025-08-22,2025-08-25,57.42869999999999,56.17190000000001,200,11485.739999999998,11211.911240000001,-273.8287599999967,-2.384075906297694,STOP_LOSS,1,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,ACB,2025-08-22,2025-08-25,29.014499999999998,28.1859,500,14507.25,14064.7641,-442.4858999999997,-3.0501018456289075,STOP_LOSS,1,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,TPB,2025-08-22,2025-08-26,20.960475,18.560715000000002,700,14672.332499999999,12966.515499000003,-1705.8170009999958,-11.62607922768923,STOP_LOSS,2,VN100_recent_router_kalman_strict
compression_breakout_smt_v1__kalman_strict,SBT,2025-08-20,2025-08-29,23.501744999999996,22.72863,1300,30552.268499999995,29488.124561999997,-1064.1439379999974,-3.483027579441434,ATR_STOP,7,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,DSE,2025-08-21,2025-09-05,26.913449999999997,29.215385,1300,34987.48499999999,37904.040499,2916.555499000009,8.33599642557906,TRAILING_ATR_STOP,9,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,VIX,2025-08-29,2025-09-08,32.606295,30.184900000000003,300,9781.888500000001,9037.35906,-744.5294400000002,-7.611305730994584,STOP_LOSS,4,VN100_recent_router_kalman_strict
breakout_after_accumulation_v3__kalman_strict,HDB,2025-08-20,2025-09-22,25.15257,23.278355,1200,30183.084000000003,27878.157948,-2304.9260520000025,-7.636482912084141,STOP_LOSS,21,VN100_recent_router_kalman_strict
