period_start,period_end,hypothesis,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
2020-01-01,2021-12-31,leader_pullback_market_healthy_v2,91,27,0.5054945054945055,4.743182308663927,0.24287512502702102,15.759383960482875,-6.517823824306553,2.471621345894845,27.46822397819659,-11.716934877163135,27.263736263736263,1.1130918484650039,1.870921903901718,-0.1459557021788188,211309.18484650037,1.0610371070366806,0.3830904957671559,-0.31713492485169437,-0.13074415864417865
2020-01-01,2021-12-31,leader_pullback_market_healthy,91,26,0.5164835164835165,4.686823735725061,0.24287512502702102,14.818902704768796,-6.136078799389835,2.57970651162652,32.162531832885975,-11.184056879857021,26.52747252747253,0.977276748160004,1.5700333193466447,-0.1802802526444206,197727.6748160004,1.0610371070366806,0.3830904957671559,-0.31713492485169437,-0.13074415864417865
2020-01-01,2021-12-31,smart_money_strong_market_healthy,48,21,0.4375,4.755202572239629,-1.8354481897573462,18.413249639733078,-5.867722924699722,2.440711085074276,27.350716788722906,-12.46222041467227,27.833333333333332,0.19915145017500246,0.48530193487676776,-0.26940338554091237,119915.14501750025,1.0610371070366806,0.3830904957671559,-0.31713492485169437,-0.13074415864417865
2020-01-01,2021-12-31,money_cycle_reset_smt_confirm,30,20,0.43333333333333335,2.8667668903308203,-3.8684042085510413,16.423376147234343,-7.500051953183642,1.6745287134383098,25.471332740940237,-13.452817390776902,30.533333333333335,0.6537251822450043,1.2399862933852805,-0.1758932575009815,165372.51822450044,1.0610371070366806,0.3830904957671559,-0.31713492485169437,-0.13074415864417865
2022-01-01,2023-12-31,leader_pullback_market_healthy_v2,60,24,0.3,0.38950882859496355,-3.6635817942826296,13.330003966360342,-5.15641765901877,1.1079123570864853,25.574628274879416,-10.812411797956882,27.15,0.03427482987000152,0.1845643856083356,-0.29473192773352386,103427.48298700016,-0.1634716873574411,-0.18824211234413768,-0.37608569137809666,-0.35562778338099277
2022-01-01,2023-12-31,leader_pullback_market_healthy,38,19,0.23684210526315788,-0.936184674896072,-3.755730902375334,11.870621314794784,-4.910710671696683,0.7501940496136578,23.05706878822975,-10.812411797956882,27.842105263157894,0.08801875437000195,0.3184273832137727,-0.2684026752942307,108801.8754370002,-0.1634716873574411,-0.18824211234413768,-0.37608569137809666,-0.35562778338099277
2022-01-01,2023-12-31,smart_money_strong_market_healthy,30,19,0.4666666666666667,1.3114201905450904,-1.4037453260657777,8.949105206381956,-5.371554198312168,1.4577656235963654,23.98620817796231,-7.891776704473432,35.766666666666666,-0.047041072419997665,-0.005439587212308914,-0.206546185884267,95295.89275800023,-0.1634716873574411,-0.18824211234413768,-0.37608569137809666,-0.35562778338099277
2022-01-01,2023-12-31,money_cycle_reset_smt_confirm,31,22,0.3548387096774194,1.2392968757220044,-2.636474731384311,13.572426776577759,-5.54392456974866,1.3464892303641485,26.2133357144143,-10.162570542685643,30.516129032258064,-0.20150432074999813,-0.6073218784036596,-0.2816759939383896,79849.56792500018,-0.1634716873574411,-0.18824211234413768,-0.37608569137809666,-0.35562778338099277
2024-01-01,2026-05-08,leader_pullback_market_healthy_v2,94,29,0.3829787234042553,3.1881192621009693,-2.7782696786464087,17.81394716349761,-5.889980814627981,1.8772442678778574,30.28558549410553,-12.046909475775694,28.76595744680851,0.7357075389250045,1.61027377918011,-0.13902379291059264,173570.75389250045,0.6889722775974407,0.8436328287724255,-0.18157857929251686,-0.1825942112146678
2024-01-01,2026-05-08,leader_pullback_market_healthy,94,28,0.40425531914893614,3.225933453159909,-2.4892500866319116,16.67108615186001,-5.897563020958017,1.9181690311242097,30.28558549410553,-12.046909475775683,30.351063829787233,0.5757397698150042,1.2592844177900424,-0.16527145302800672,157573.97698150043,0.6889722775974407,0.8436328287724255,-0.18157857929251686,-0.1825942112146678
2024-01-01,2026-05-08,smart_money_strong_market_healthy,59,28,0.4915254237288136,5.291748983008667,-1.3492264394118645,17.15853321138831,-6.1794757710916555,2.6841406486187864,29.55399701279308,-11.849579338160456,31.016949152542374,0.7729019189100037,1.4468499274131812,-0.18200962795079023,177290.19189100037,0.6889722775974407,0.8436328287724255,-0.18157857929251686,-0.1825942112146678
2024-01-01,2026-05-08,money_cycle_reset_smt_confirm,45,24,0.4666666666666667,4.640518552584698,-2.6915490487079587,16.75169697098692,-5.956762563517245,2.4606881159551732,29.00217174222501,-12.880223295292407,32.644444444444446,0.7323725979000033,1.3326392056016323,-0.15057281149738677,173237.25979000033,0.6889722775974407,0.8436328287724255,-0.18157857929251686,-0.1825942112146678
2022-05-08,2026-05-08,leader_pullback_market_healthy_v2,125,28,0.408,2.876905594894627,-2.3327203857714367,15.175885755351452,-5.599418569744537,1.867882579000628,30.285585494105533,-12.046909475775694,31.144,1.1598749148700054,1.245674171498396,-0.20016643549270385,215987.49148700055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
2022-05-08,2026-05-08,leader_pullback_market_healthy,117,29,0.39316239316239315,2.0414242082535563,-2.432375790714236,13.688846096496667,-5.504792789763106,1.611110572922679,26.51557281324068,-12.046909475775694,32.1025641025641,0.7735468191850066,0.9366020112357407,-0.17869675309267474,177354.68191850066,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
2022-05-08,2026-05-08,smart_money_strong_market_healthy,93,30,0.4731182795698925,4.355389074137274,-2.2394437022733604,15.81215113338107,-5.932315632122459,2.393444180038074,29.55399701279308,-11.849579338160456,32.8494623655914,0.7743456662700057,0.9155308929009324,-0.17312784080710164,177434.56662700057,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
2022-05-08,2026-05-08,money_cycle_reset_smt_confirm,73,27,0.410958904109589,4.052534337794732,-2.6364747313843,17.95852291549439,-5.649318158274796,2.217825529212548,29.00217174222503,-12.880223295292407,31.643835616438356,0.638778563780007,0.7869218570557573,-0.22665426151545798,163877.8563780007,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
