scope,hypothesis,feature_rows,symbols_loaded,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
portfolio,accumulation_breakout_smt_v2,122719,100,259,81,0.4594594594594595,1.9992391059640557,-0.9711322789783432,9.926315037385521,-4.73877543574419,1.7804953824431788,36.83141289437586,-12.978394617720042,16.498069498069498,1.605832227525016,1.2733383724289715,-0.1800696627298476,260583.2227525016,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,composite_edge_score_v1,122719,100,249,81,0.4457831325301205,2.817472957973192,-2.748528192044325,13.156185894352772,-5.498448316940819,1.9245701539313806,32.93366650008329,-12.331373499690825,23.068273092369477,1.2571953587700104,1.2884697113575716,-0.1615877733858747,225719.53587700104,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,mean_reversion_uptrend_ma20_v1,122719,100,275,85,0.4218181818181818,1.6156784425078723,-1.8910034250898802,9.390883254303482,-4.056798023959366,1.6888221656735651,29.398196646357686,-11.65278064901298,14.621818181818181,1.1625687872600152,1.1902034751770147,-0.16047443659748784,216256.87872600154,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,combined,122719,100,247,83,0.44129554655870445,2.4137789820531417,-2.310204292903954,12.055314234126463,-5.201636543135208,1.830568325758155,32.933666500083326,-14.239850475416414,24.08097165991903,1.0955552535700095,1.1295054178706434,-0.1670675020684469,209555.52535700094,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,composite_edge_score_v2,122719,100,238,79,0.42436974789915966,2.493327539604121,-2.641371615751872,13.127341456759762,-5.346346954065367,1.8101745279741999,31.218393383953227,-12.331373499690818,24.100840336134453,0.9940471509150095,1.0958244356322828,-0.1737350908558406,199404.71509150096,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,accumulation_breakout_smt_v1,122719,100,258,80,0.46124031007751937,2.057575007300665,-1.4994694360350316,9.993125396484498,-4.736169570489812,1.8063680997640825,36.83141289437587,-12.978394617720028,16.926356589147286,0.9849769281150134,0.9452679910777592,-0.18951732276673228,198497.69281150133,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,leader_pullback_market_regime_v3,122719,100,193,71,0.37823834196891193,2.16095354084506,-4.0334639360481725,15.788412362998836,-6.129083909298487,1.5670559683891816,32.79164335211314,-14.287655112889295,25.60621761658031,0.5104629193500068,0.6752734973720687,-0.21053454309169717,151046.29193500069,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,money_cycle_reset_smt_confirm,122719,100,122,65,0.39344262295081966,2.8571743470821027,-2.9011844165521885,15.463838454210048,-5.320121289973863,1.8854077509750977,28.850556214894134,-10.31149069816554,28.581967213114755,0.49769730801000667,0.6412865793733059,-0.19042822319081187,149769.73080100067,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,regime_switching,122719,100,219,72,0.3789954337899543,2.021532448434152,-3.208552341165551,13.839801941545046,-5.191087903979114,1.627086628190388,36.83141289437588,-10.97472637418662,22.205479452054796,0.47961123328000665,0.6229558402223212,-0.20450018318430563,147961.12332800066,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,leader_pullback_market_healthy_v2,122719,100,197,73,0.3756345177664975,2.00994715657483,-4.073451171610449,15.39260893600537,-6.0414103367411025,1.5328530058123648,31.679575306686274,-14.287655112889295,26.401015228426395,0.45905804848500575,0.6405128764788783,-0.19465193720423224,145905.8048485006,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,rotation_monthly_smt_money_cycle_v1,122719,100,154,73,0.461038961038961,1.1101203294480084,-0.29975012493751163,8.27050850154214,-5.015030998487934,1.4107135797919441,32.815608181699595,-14.90951770823229,15.305194805194805,0.3406883407050063,0.6034420544917156,-0.21911343623709922,134068.83407050063,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,rotation_weekly_smt_money_cycle_v1,122719,100,610,88,0.5081967213114754,0.3168046588126359,0.04040752925200755,3.5615393928298515,-3.0360878996718204,1.2121708903713415,23.336262774694568,-12.02625599112355,4.821311475409836,0.2849088779100286,0.48147390372895404,-0.18407775710903418,128490.88779100287,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,mean_reversion_uptrend_ma50_v1,122719,100,202,72,0.41089108910891087,1.3570356156859702,-2.372851408116216,10.156942745155206,-4.780714735120302,1.4818399708213044,24.244195180697133,-9.984917255657887,21.856435643564357,0.28280681091000814,0.4697762886305337,-0.1898477014642017,128280.68109100082,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,breakout_after_accumulation_v3,122719,100,241,83,0.42323651452282157,1.6353460343476718,-2.542143288217472,10.831038379032417,-5.112572089090055,1.5545905430938447,36.83141289437588,-12.978394617720028,17.547717842323653,0.24857522529500908,0.38235395367723674,-0.33095655232311305,124857.5225295009,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
portfolio,leader_pullback_market_healthy,122719,100,200,73,0.335,1.3235679420468256,-4.594670710756161,15.902822950776663,-6.02086879167422,1.3305715173786061,32.05580266470542,-12.978394617720028,25.46,0.22813588312000666,0.3866187766713864,-0.22968409583643346,122813.58831200066,0.6248981514315659,0.2802892484187536,-0.41479416603303965,-0.15924780650469728
