,qa_ensemble
2026-01-12,136761.35775550944
2026-01-13,138183.21428711378
2026-01-14,138388.42627691664
2026-01-15,137716.81563713064
2026-01-16,138219.5578259133
2026-01-19,139222.5297482802
2026-01-20,139543.56710195617
2026-01-21,139369.3653929114
2026-01-22,139073.9546016605
2026-01-23,137679.28573034605
2026-01-26,135858.75896782737
2026-01-27,135892.03537131636
2026-01-28,134162.93626592687
2026-01-29,134707.983540114
2026-01-30,135695.52758241736
2026-02-02,135067.71293333045
2026-02-03,135783.62387091393
2026-02-04,134962.70593779412
2026-02-05,133301.12481647872
2026-02-06,131509.65091632283
2026-02-09,131290.37501624055
2026-02-10,130008.75728155539
2026-02-11,132219.66821204426
2026-02-12,132558.40497625683
2026-02-13,133011.84585602797
2026-02-23,135196.9526346242
2026-02-24,135751.72373341743
2026-02-25,136533.6109295964
2026-02-26,136899.1422414264
2026-02-27,136454.15433848026
2026-03-02,134858.0359107577
2026-03-03,133023.3663130347
2026-03-04,132615.76704667482
2026-03-05,130873.62491827697
2026-03-06,128484.96888701695
2026-03-09,125441.9977935158
2026-03-10,126283.37814607915
2026-03-11,128691.32888250936
2026-03-12,127830.1415520097
2026-03-13,127301.79373172652
2026-03-16,127249.19098012625
2026-03-17,127651.60896063015
2026-03-18,127772.28369373028
2026-03-19,127171.30021605092
2026-03-20,125742.88695021994
2026-03-23,124175.13610620993
2026-03-24,124799.42563497553
2026-03-25,125852.40520058625
2026-03-26,125193.14544220215
2026-03-27,126034.71778534654
2026-03-30,125817.45226028604
2026-03-31,126075.56481667187
2026-04-01,126707.22060176298
2026-04-02,126228.83362171693
2026-04-03,125946.41033201739
2026-04-06,125579.14518257888
2026-04-07,125562.1118073557
2026-04-08,130013.13081533168
2026-04-09,129019.47881799667
2026-04-10,129590.28763205338
2026-04-13,129465.08498944633
2026-04-14,130204.3971845393
2026-04-15,131243.4759873207
2026-04-16,131717.00148648684
2026-04-17,132004.13744015218
2026-04-20,132895.04869368652
2026-04-21,132779.23724055686
2026-04-22,133611.95940999963
2026-04-23,133868.26717167522
2026-04-24,133374.03307669822
2026-04-28,134133.90191738924
2026-04-29,133237.79921581608
2026-05-04,133183.5950571555
2026-05-05,133685.69401000283
2026-05-06,134749.9743191666
