fold,train_start,train_end,test_start,test_end,selected_hypothesis,selected_filters,selected_risk,train_trades,train_symbols,train_win_rate,train_avg_trade_pct,train_median_trade_pct,train_avg_win_pct,train_avg_loss_pct,train_profit_factor,train_best_trade_pct,train_worst_trade_pct,train_avg_hold_bars,train_total_return,train_sharpe,train_max_drawdown,train_final_equity
1,2022-05-08,2024-05-07,2024-05-08,2024-11-07,composite_edge_score_v2,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'edge_score', 'op': '>=', 'value': 65}, {'column': 'smart_money_score', 'op': '>=', 'value': 55}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}",95.0,29.0,0.47368421052631576,2.4783187215557083,-2.1196086595848205,10.508189108757247,-4.748564626925677,1.9916271422853997,28.258889225464,-8.788744190591862,28.57894736842105,0.34406985728000294,0.9948184270766943,-0.12983801494589942,134406.9857280003
2,2022-11-08,2024-11-07,2024-11-08,2025-05-07,composite_edge_score_v2,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'edge_score', 'op': '>=', 'value': 65}, {'column': 'smart_money_score', 'op': '>=', 'value': 55}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}",96.0,30.0,0.5,3.1476136772583097,0.041500584608359425,10.922455432395362,-4.6272280778787405,2.3604748347314106,28.258889225464,-8.17082248349508,34.0,0.4628589937250036,1.2435306084782731,-0.12652493325757308,146285.89937250037
3,2023-05-08,2025-05-07,2025-05-08,2025-11-07,composite_edge_score_v2,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'edge_score', 'op': '>=', 'value': 65}, {'column': 'smart_money_score', 'op': '>=', 'value': 55}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}",114.0,30.0,0.39473684210526316,2.1099341419798754,-1.9530272449926502,11.885770561086767,-4.265611348742009,1.8172282616996955,27.524034007521564,-8.853122768374503,27.25438596491228,0.3030990950800039,1.0264817857798398,-0.1504118443616499,130309.90950800039
4,2023-11-08,2025-11-07,2025-11-08,2026-05-07,composite_edge_score_v2,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'edge_score', 'op': '>=', 'value': 65}, {'column': 'smart_money_score', 'op': '>=', 'value': 55}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}",107.0,28.0,0.45794392523364486,3.1849679598099585,-1.3119354028569534,12.60707686569445,-4.775089564126938,2.230493517353911,33.78679971566143,-8.853122768374503,29.906542056074766,0.5403204945650033,1.487578625989312,-0.11585306347762603,154032.04945650033
