hypothesis,hold,trades,wr,avg,pf
linreg_momentum_refined_v1,10,558,0.5806451612903226,2.5709539214711894,2.7032948694929195
adx_trend_refined_v1,10,747,0.5756358768406962,1.9902470130981549,2.0960578666101615
retest_refined_v1,10,543,0.574585635359116,1.871812821161491,2.227377491340593
nr7_refined_v1,10,137,0.5693430656934306,1.8700888904822874,2.096229394802151
inside_bar_refined_v1,10,132,0.5454545454545454,1.7066908470838051,1.8713392497305645
spring_refined_v1,10,33,0.5151515151515151,0.058697847435883244,1.043016488706677
hammer_refined_v1,10,125,0.408,-0.61971393180987,0.7742606547885122
oversold_mean_reversion_refined_v1,10,31,0.2903225806451613,-2.7371387375291083,0.2558811596235642
linreg_momentum_refined_v1,20,558,0.578853046594982,3.5273869397564637,2.290358779545123
nr7_refined_v1,20,137,0.6058394160583942,2.7151085690472687,2.037571743051014
retest_refined_v1,20,543,0.5893186003683242,2.535586961927589,1.8746664665856265
adx_trend_refined_v1,20,747,0.5662650602409639,2.3687227405250817,1.7639753227493913
inside_bar_refined_v1,20,132,0.5909090909090909,1.9586457654602452,1.6601260823144262
spring_refined_v1,20,33,0.42424242424242425,-0.08086498504057915,0.9772012708914407
hammer_refined_v1,20,125,0.392,-0.09209622881718822,0.9760636752817466
oversold_mean_reversion_refined_v1,20,31,0.2903225806451613,-3.090324871246943,0.37133599547091545
inside_bar_refined_v1,30,132,0.5833333333333334,4.052521322013004,2.2056340937556946
nr7_refined_v1,30,137,0.5474452554744526,3.843020826105143,2.0630991729053956
linreg_momentum_refined_v1,30,558,0.578853046594982,3.8063976595074296,1.9523712189334979
spring_refined_v1,30,33,0.48484848484848486,3.4297349397763535,1.8746441776317861
retest_refined_v1,30,543,0.583793738489871,3.1606308035294073,1.8027576217730052
adx_trend_refined_v1,30,747,0.5528781793842035,2.9653368371644664,1.686260075058897
hammer_refined_v1,30,125,0.376,0.3620169178585289,1.08418732529424
oversold_mean_reversion_refined_v1,30,31,0.3548387096774194,-2.5448368136383563,0.5472910950277169
linreg_momentum_refined_v1,45,558,0.5448028673835126,6.262860361528314,2.424516726878629
retest_refined_v1,45,543,0.5432780847145487,5.225241046199044,2.2518309287012213
adx_trend_refined_v1,45,747,0.5180722891566265,4.068200727256374,1.7995831341115562
inside_bar_refined_v1,45,132,0.4772727272727273,3.93124381477375,1.7233301940834231
nr7_refined_v1,45,137,0.4744525547445255,3.649083236089745,1.748355528852497
spring_refined_v1,45,33,0.18181818181818182,3.6147347991529943,1.53946902194493
hammer_refined_v1,45,125,0.344,0.24810536617224901,1.0444953199954723
oversold_mean_reversion_refined_v1,45,31,0.41935483870967744,-0.5677683969440039,0.9005376795585766
