setup_type,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
EDGE,19,0.42105263157894735,0.029085222316502575,13515700.110488113,1.8953787816284058
EDGE_MEAN_REVERSION,15,0.4666666666666667,0.03228070144599084,10843426.224425081,2.3063236859509404
LINREG_MOMENTUM,1,1.0,0.2838424001987472,6881513.080766004,inf
EDGE_COMPRESSION,12,0.5833333333333334,0.015591242124868924,3673242.1520200633,1.683268653869629
EDGE_REVERSAL,3,0.6666666666666666,0.03794535404643852,3093632.0282500163,6.387732476144865
EDGE_BREAKOUT,5,0.4,0.018969722085658648,1312168.210035026,1.246381506675227
NR7,1,1.0,0.0643215771395285,1287647.0803080015,inf
RETEST,2,0.5,0.010726661426520583,581837.787033014,1.777427642637528
