fold,test_start,test_end,selected_hypothesis,selected_risk,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
1,2024-05-08,2024-11-07,rotation_weekly_smt_money_cycle_v1,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 5, 'entry_every_n_bars': 5, 'use_regime_exposure': True}",88,27,0.32954545454545453,-0.8325879683128825,-0.8964624188635093,2.002012307253779,-2.2258660698625974,0.4420930625417001,11.013055731631,-5.786869186680235,4.965909090909091,-0.13355686580999626,-2.594817290413305,-0.1345842646668024,86644.31341900038,0.0398156554788438,0.03534658463965612,-0.06994852079096436,-0.07071395509914491
2,2024-11-08,2025-05-07,rotation_weekly_smt_money_cycle_v1,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 5, 'entry_every_n_bars': 5, 'use_regime_exposure': True}",65,23,0.47692307692307695,0.09058516463370182,-0.2997501249375157,2.40317151282415,-2.0179494469517074,1.0858185624445913,9.042586612989288,-6.470828078962672,4.769230769230769,-0.011331261859997444,-0.2513522128274686,-0.0470470723399421,98866.87381400025,0.006890337553305814,0.017857889365559654,-0.18157857929251697,-0.17499656540626984
3,2025-05-08,2025-11-07,rotation_weekly_smt_money_cycle_v1,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 5, 'entry_every_n_bars': 5, 'use_regime_exposure': True}",105,27,0.5428571428571428,1.3092902735296286,0.5377855762978735,5.067752980925598,-3.153884191503085,1.9081095878733254,18.28584293144544,-7.800709363186725,4.847619047619047,0.2443694458600043,2.5219529517525023,-0.0701747214967755,124436.94458600042,0.2703097745100185,0.2775527684235728,-0.08082429932611379,-0.09357577107841608
4,2025-11-08,2026-05-07,rotation_weekly_smt_money_cycle_v1,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 5, 'entry_every_n_bars': 5, 'use_regime_exposure': True}",58,22,0.3275862068965517,-0.6726957855485409,-0.7901999128652668,3.3704947097418363,-2.6424552576130833,0.6214053689281556,13.943142714357128,-6.741058403382579,4.431034482758621,-0.07411506006499768,-1.5355510216838164,-0.09991174676109627,92588.49399350023,0.14075389891177226,0.13686494165979735,-0.16207884061915145,-0.1719545688518732
