hypothesis,folds,sum_oos_return,avg_oos_sharpe,worst_oos_drawdown,negative_folds,total_trades
breakout_after_accumulation_v3,4,0.7568899808000056,1.171638635954529,-0.1618644257529489,2,72
accumulation_breakout_smt_v2,4,0.5454040157500053,1.3660463754453878,-0.13476164287009806,1,104
composite_edge_score_v2,4,0.42765131072500406,0.9944531005919595,-0.12289157025861608,2,122
leader_pullback_market_healthy_v2,4,0.3729468837700023,0.8680720664480399,-0.09406878882554048,1,77
mean_reversion_uptrend_ma50_v1,4,0.27192177225000314,1.039689473838263,-0.09593065435714987,0,104
rotation_monthly_smt_money_cycle_v1,4,0.1549811145350033,0.22115639090332984,-0.08605705919170226,2,79
mean_reversion_uptrend_ma20_v1,4,0.06735436900500402,-0.16690068560337212,-0.19122265651794268,2,54
rotation_weekly_smt_money_cycle_v1,4,0.02536625812501292,-0.46494189329302194,-0.1345842646668024,3,316
