fold,test_start,test_end,selected_hypothesis,selected_risk,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
1,2024-05-08,2024-11-07,mean_reversion_uptrend_ma20_v1,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",13,11,0.3076923076923077,-0.5394663335934067,-2.6080372992488563,6.795034545466621,-3.79924450206453,0.7948989205352874,12.924972385519373,-6.216477095695002,16.76923076923077,-0.10164732565499901,-1.53475306397428,-0.13915239405934876,89835.2674345001,0.0398156554788438,0.03534658463965612,-0.06994852079096436,-0.07071395509914491
2,2024-11-08,2025-05-07,mean_reversion_uptrend_ma20_v1,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",22,15,0.3181818181818182,0.0942164590646727,-1.3597934584475928,6.118627951296795,-2.7171755706436516,1.050855800948036,9.662368419279654,-5.6757439907497185,19.545454545454547,0.008609039665000928,0.25998660353957076,-0.059150031905626954,100860.9039665001,0.006890337553305814,0.017857889365559654,-0.18157857929251697,-0.17499656540626984
3,2025-05-08,2025-11-07,mean_reversion_uptrend_ma20_v1,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",10,9,0.6,3.9863837921131675,5.402103964072836,9.436026583723892,-4.188080395302917,3.3796008050514272,17.30900047488694,-6.118830856945037,24.0,0.317924606720001,2.392142901515274,-0.09648178281045405,131792.4606720001,0.2703097745100185,0.2775527684235728,-0.08082429932611379,-0.09357577107841608
4,2025-11-08,2026-05-07,mean_reversion_uptrend_ma20_v1,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",9,8,0.2222222222222222,-2.5864359058090005,-3.5158872176814655,8.880240827143805,-5.86262925808123,0.4327770959422103,10.809304515584229,-12.62632647312706,16.333333333333332,-0.1575319517249989,-1.7849791834940536,-0.19122265651794268,84246.8048275001,0.14075389891177226,0.13686494165979735,-0.16207884061915145,-0.1719545688518732
