fold,train_start,train_end,test_start,test_end,selected_hypothesis,selected_filters,selected_risk,train_trades,train_symbols,train_win_rate,train_avg_trade_pct,train_median_trade_pct,train_avg_win_pct,train_avg_loss_pct,train_profit_factor,train_best_trade_pct,train_worst_trade_pct,train_avg_hold_bars,train_total_return,train_sharpe,train_max_drawdown,train_final_equity
1,2022-05-08,2024-05-07,2024-05-08,2024-11-07,mean_reversion_uptrend_ma20_v1,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 45}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.05, 0.025]}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.02}, {'column': 'smart_money_score', 'op': '>=', 'value': 58}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': 'not_up'}]","{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",66.0,26.0,0.4393939393939394,1.6368000887911656,-0.428031455193652,7.8394919015959745,-3.2247691698936856,1.9053973484179008,17.948215742378395,-7.501212796491001,19.59090909090909,0.3121204782750051,0.9136246827772355,-0.1385109227925021,131212.0478275005
2,2022-11-08,2024-11-07,2024-11-08,2025-05-07,mean_reversion_uptrend_ma20_v1,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 45}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.05, 0.025]}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.02}, {'column': 'smart_money_score', 'op': '>=', 'value': 58}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': 'not_up'}]","{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",76.0,26.0,0.47368421052631576,1.5154869848321553,-0.2997501249375253,7.2114641558341965,-3.610892469069681,1.7974275877351058,17.948215742378416,-8.400794100710373,19.86842105263158,0.2487090693800056,0.7438022118514248,-0.12588822957001355,124870.90693800055
3,2023-05-08,2025-05-07,2025-05-08,2025-11-07,mean_reversion_uptrend_ma20_v1,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 45}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.05, 0.025]}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.02}, {'column': 'smart_money_score', 'op': '>=', 'value': 58}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': 'not_up'}]","{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",82.0,28.0,0.4268292682926829,1.306474685717742,-0.8962722470777661,7.5523848726065355,-3.3447350279228485,1.6814833903261164,17.94821574237842,-8.400794100710373,18.24390243902439,0.15849943711000503,0.5988441417566653,-0.140072077875528,115849.9437110005
4,2023-11-08,2025-11-07,2025-11-08,2026-05-07,mean_reversion_uptrend_ma20_v1,"[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 45}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.05, 0.025]}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.02}, {'column': 'smart_money_score', 'op': '>=', 'value': 58}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': 'not_up'}]","{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",70.0,28.0,0.45714285714285713,1.7213101441715721,-0.9424554838806922,7.475705964767195,-3.124496862645793,2.0148304240640194,17.746123087365174,-6.216477095694986,19.685714285714287,0.2102477300600034,0.69455084376685,-0.1425106025361843,121024.77300600035
