hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,run
breakout_after_accumulation_v3,VPB,2025-07-08,2025-07-21,19.359675,21.5892,900,17423.7075,19391.41944,1967.711940000001,11.29330218611625,TRAILING_ATR_STOP,9,VN30_2022_baseline_family
breakout_after_accumulation_v3,TPB,2025-07-08,2025-07-22,13.296644999999998,14.322835000000001,1300,17285.638499999997,18582.446129000004,1296.8076290000063,7.502225787031278,TRAILING_ATR_STOP,10,VN30_2022_baseline_family
breakout_after_accumulation_v3,HDB,2025-07-23,2025-07-24,19.829909999999998,20.919535,1000,19829.91,20877.695929999998,1047.7859299999982,5.283866290870701,TRAILING_ATR_STOP,1,VN30_2022_baseline_family
compression_breakout_smt_v1,TCB,2025-06-18,2025-07-29,31.575779999999998,34.812585,600,18945.467999999997,20845.775898,1900.3078980000028,10.03040884500717,TRAILING_ATR_STOP,29,VN30_2022_baseline_family
breakout_after_accumulation_v3,BCM,2025-06-30,2025-07-29,62.061015,68.675645,300,18618.3045,20561.488113,1943.183613000001,10.436952586096124,TRAILING_ATR_STOP,21,VN30_2022_baseline_family
breakout_after_accumulation_v3,VPB,2025-07-21,2025-07-29,21.6108,25.087450000000004,900,19449.72,22533.547590000006,3083.8275900000044,15.855382956669834,TRAILING_ATR_STOP,6,VN30_2022_baseline_family
breakout_after_accumulation_v3,HDB,2025-07-24,2025-07-30,20.940465,20.419785,1000,20940.465,20378.94543,-561.5195700000004,-2.681504780337974,ATR_STOP,4,VN30_2022_baseline_family
breakout_after_accumulation_v3,SSB,2025-07-29,2025-07-30,20.71035,19.840075000000002,1000,20710.35,19800.39485,-909.955149999998,-4.393721738164724,ATR_STOP,1,VN30_2022_baseline_family
breakout_after_accumulation_v3,TPB,2025-07-29,2025-07-30,15.817905,14.662665,1300,20563.2765,19023.341571,-1539.934928999999,-7.488762449894592,ATR_STOP,1,VN30_2022_baseline_family
breakout_after_accumulation_v3,SHB,2025-08-01,2025-08-05,15.277634999999998,17.091450000000002,4000,61110.53999999999,68229.0684,7118.52840000001,11.648609879735984,TRAILING_ATR_STOP,2,VN30_2022_baseline_family
breakout_after_accumulation_v3,CTG,2025-07-08,2025-08-13,30.535259999999997,32.973505,500,15267.63,16453.778995,1186.1489950000014,7.769044671635359,TRAILING_ATR_STOP,26,VN30_2022_baseline_family
breakout_after_accumulation_v3,MWG,2025-07-09,2025-08-13,66.57327000000001,72.46375,300,19971.981000000003,21695.64675,1723.6657499999965,8.63041953624929,TRAILING_ATR_STOP,25,VN30_2022_baseline_family
breakout_after_accumulation_v3,VPB,2025-07-29,2025-08-19,25.11255,32.68365000000001,800,20090.04,26094.626160000007,6004.586160000006,29.888373343208904,TAKE_PROFIT,15,VN30_2022_baseline_family
breakout_after_accumulation_v3,TPB,2025-08-05,2025-08-20,16.62831,20.46976,4100,68176.071,83758.16396800001,15582.092968000012,22.85566290260407,TRAILING_ATR_STOP,11,VN30_2022_baseline_family
breakout_after_accumulation_v3,ACB,2025-08-20,2025-08-25,28.514249999999997,28.1859,1200,34217.1,33755.433840000005,-461.6661599999934,-1.3492264394118538,ATR_STOP,3,VN30_2022_baseline_family
breakout_after_accumulation_v3,STB,2025-08-22,2025-08-25,57.42869999999999,56.17190000000001,100,5742.869999999999,5605.955620000001,-136.91437999999835,-2.384075906297694,STOP_LOSS,1,VN30_2022_baseline_family
breakout_after_accumulation_v3,GAS,2025-06-24,2025-08-26,64.13204999999999,64.72762,300,19239.614999999998,19379.449428,139.83442800000194,0.7268047099695184,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,TPB,2025-08-20,2025-08-26,20.49024,18.560715000000002,1700,34833.408,31490.109069000002,-3343.298931000001,-9.597966788090332,STOP_LOSS,4,VN30_2022_baseline_family
breakout_after_accumulation_v3,POW,2025-08-13,2025-09-09,13.686839999999998,12.683655,2800,38323.151999999995,35443.205532,-2879.9464679999946,-7.514899786948618,STOP_LOSS,17,VN30_2022_baseline_family
breakout_after_accumulation_v3,VNM,2025-07-10,2025-09-15,57.818895,60.529720000000005,100,5781.889499999999,6040.866056000001,258.97655600000144,4.479099021176407,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SAB,2025-09-17,2025-09-19,45.872925,45.007485,400,18349.170000000002,17966.988012,-382.1819880000003,-2.0828298391698383,ATR_STOP,2,VN30_2022_baseline_family
breakout_after_accumulation_v3,HDB,2025-08-20,2025-09-22,25.15257,23.278355,1400,35213.598,32524.517606,-2689.080393999997,-7.636482912084124,STOP_LOSS,21,VN30_2022_baseline_family
breakout_after_accumulation_v3,VHM,2025-08-27,2025-09-22,105.35265,101.7491,400,42141.06,40618.24072,-1522.819279999996,-3.613623577574926,STOP_LOSS,16,VN30_2022_baseline_family
breakout_after_accumulation_v3,MSN,2025-09-16,2025-09-22,89.0445,83.85805,100,8904.45,8369.03339,-535.4166100000002,-6.012910511036618,STOP_LOSS,4,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VNM,2025-09-16,2025-09-29,60.680324999999996,58.33082,100,6068.032499999999,5821.415836,-246.61666399999922,-4.064194844045401,ATR_STOP,9,VN30_2022_baseline_family
breakout_after_accumulation_v3,HPG,2025-09-05,2025-10-03,30.014999999999997,28.085950000000004,100,3001.4999999999995,2802.9778100000003,-198.52218999999923,-6.614099283691464,ATR_STOP,20,VN30_2022_baseline_family
breakout_after_accumulation_v3,VRE,2025-10-07,2025-10-15,36.018,42.628675,100,3601.8,4254.341765,652.5417649999999,18.11710158809484,TRAILING_ATR_STOP,6,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VCB,2025-09-16,2025-10-20,65.55275999999999,61.7691,100,6555.275999999999,6164.55618,-390.71981999999934,-5.960387022605904,STOP_LOSS,24,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,MSN,2025-09-25,2025-10-20,83.54175,86.9565,200,16708.35,17356.517400000004,648.1674000000057,3.879302265035182,TRAILING_ATR_STOP,17,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,ACB,2025-10-07,2025-10-20,26.913449999999997,25.587200000000003,100,2691.345,2553.6025600000003,-137.74243999999953,-5.117977814066927,STOP_LOSS,9,VN30_2022_baseline_family
breakout_after_accumulation_v3,SSI,2025-08-27,2025-10-24,35.947964999999996,33.863060000000004,1200,43137.558,40554.400656000005,-2583.157343999992,-5.988186313189059,STOP_LOSS,40,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,TCB,2025-09-25,2025-10-27,37.81889999999999,36.28185,400,15127.559999999998,14483.71452,-643.8454799999981,-4.256109246963808,ATR_STOP,22,VN30_2022_baseline_family
