run,run_label,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
VN30_2022_baseline_family,VN30 2022 | Family | No Kalman - Baseline,235,30,0.451063829787234,1.7138963488746857,-1.389608562574839,8.667923481295276,-4.000265480866265,1.78050176766809,30.71514736623681,-9.597966788090332,20.48085106382979,0.6534199499250093,0.8799849209895064,-0.1472970906266835,165341.99499250093,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_baseline_router,VN30 2022 | Router | No Kalman - Baseline,241,30,0.4149377593360996,1.418035749274435,-2.1821863417819176,9.226600382555652,-4.119953352343451,1.5882918215218125,29.888373343208908,-9.984917255657876,19.680497925311204,0.5091051657350085,0.7380902753086577,-0.1690894630902896,150910.51657350085,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_static_setup_aware_family,VN30 2022 | Family | Static Kalman Gate - Setup Aware,232,30,0.4310344827586206,1.3649769850122158,-2.199625316499114,8.914994025858995,-4.354732894417162,1.5509064543503783,29.88837334320893,-11.344388584151032,19.620689655172413,0.4572878608750088,0.6668188019314313,-0.1406286949113907,145728.7860875009,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_static_setup_aware_router,VN30 2022 | Router | Static Kalman Gate - Setup Aware,220,30,0.4363636363636363,1.628148986237706,-2.081470784509598,9.32237373068016,-4.328670170749998,1.6673299912558217,30.71514736623682,-11.344388584151025,19.78181818181818,0.691790912815009,0.8841355928939512,-0.1854898696953232,169179.0912815009,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_loose_family,VN30 2022 | Family | Adaptive Kalman Gate - Loose,237,30,0.4556962025316455,1.818283668631841,-1.389608562574835,9.058425609365171,-4.243230514307692,1.7872699017913565,30.715147366236785,-9.74926574904555,20.44725738396625,0.7650550109700098,0.9637181568657764,-0.1497829699564205,176505.501097001,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_loose_router,VN30 2022 | Router | Adaptive Kalman Gate - Loose,227,30,0.4405286343612334,1.6380413436479602,-1.946692205871267,9.206937648418178,-4.321719526249849,1.6774705437142623,30.71514736623682,-9.984917255657876,20.308370044052865,0.6019904923850092,0.824260008282962,-0.1774126588943141,160199.0492385009,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_quality_family,VN30 2022 | Family | Adaptive Kalman Gate - Quality/Shock,217,30,0.4285714285714285,1.5898826692089474,-1.9252976772483223,9.179867204570758,-4.10260573231241,1.6781774444475888,30.715147366236803,-9.597966788090313,21.83870967741936,0.2173538026150063,0.4198745632219017,-0.2124895206373496,121735.38026150064,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_quality_router,VN30 2022 | Router | Adaptive Kalman Gate - Quality/Shock,205,30,0.4146341463414634,1.447887637757051,-2.0801117298493645,9.395282322213946,-4.1815169303999165,1.5915256964570197,30.71514736623682,-9.984917255657876,21.43414634146341,0.1630005960500062,0.3346690214006535,-0.2361000366736599,116300.05960500064,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_pullback_family,VN30 2022 | Family | Adaptive Kalman Gate - All MVP Setups,212,30,0.4481132075471698,1.600161913177768,-1.6705640638726185,8.673797746075532,-4.143388549431528,1.6997747485414385,29.88837334320893,-9.984917255657871,20.797169811320757,0.4694113721050095,0.6892850921827575,-0.1700412894871806,146941.13721050095,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_pullback_router,VN30 2022 | Router | Adaptive Kalman Gate - All MVP Setups,215,30,0.4465116279069767,1.666598896272476,-1.7031196152229946,9.105358864295413,-4.334417548519137,1.69469127184404,30.715147366236785,-9.984917255657878,20.976744186046517,0.3788417172400062,0.6086383163607559,-0.2076023996680324,137884.17172400063,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_no_breakout_family,VN30 2022 | Family | Adaptive Kalman Gate - Pullback Only,216,30,0.4398148148148148,1.4568326248690189,-1.8163517065557064,8.60925678736014,-4.158707006838886,1.6253450484009244,29.88837334320893,-11.344388584151025,19.99074074074074,0.3809494279500087,0.5894365431571725,-0.1578790247723699,138094.94279500088,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN30_2022_adaptive_no_breakout_router,VN30 2022 | Router | Adaptive Kalman Gate - Pullback Only,209,30,0.4401913875598086,1.6815212442028855,-1.7074057358630903,9.325249861877792,-4.328932027814991,1.693876239670927,30.71514736623679,-11.344388584151025,20.48803827751196,0.418880004575008,0.6280401091529978,-0.1999258316032648,141888.0004575008,0.6677319620094422,0.6502352228875887,-0.2807884831788375,-0.2671409796797619
VN100_2025_baseline_family,VN100 2025 | Family | No Kalman - Baseline,133,80,0.4736842105263157,3.151514751479896,-0.9030799275097428,11.694836213353236,-4.537474564206109,2.319649938105925,36.83141289437588,-12.978394617720022,13.962406015037594,0.5292041986900045,2.09887317918347,-0.1078069718918046,152920.41986900044,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_baseline_router,VN100 2025 | Router | No Kalman - Baseline,129,76,0.4496124031007752,3.037924972393504,-1.812798799179668,12.323234580171944,-4.5472575241015605,2.21383276224275,36.83141289437588,-12.978394617720022,13.806201550387597,0.4348763111750044,1.8332126966171105,-0.1160463022648659,143487.63111750045,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_static_setup_aware_family,VN100 2025 | Family | Static Kalman Gate - Setup Aware,128,71,0.4375,2.493715297021633,-1.460679448631457,11.354466588786002,-4.397980152128432,2.00802447619143,29.88837334320893,-12.978394617720042,14.5234375,0.4888346443750042,2.054260916737752,-0.1117872558059155,148883.46443750043,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_static_setup_aware_router,VN100 2025 | Router | Static Kalman Gate - Setup Aware,130,75,0.4230769230769231,2.125817504924026,-1.9452358506893732,11.475415602204484,-4.730554433081642,1.778925682812182,29.88837334320893,-12.978394617720031,13.83846153846154,0.4022196573050041,1.729101233442634,-0.1318686492074438,140221.9657305004,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_loose_family,VN100 2025 | Family | Adaptive Kalman Gate - Loose,125,73,0.464,3.023973522215343,-0.9030799275097792,11.78836317530988,-4.563110058075449,2.2363807960186755,36.83141289437588,-12.978394617720022,15.232,0.5239442702350043,2.0184908362360527,-0.1651939280512536,152394.42702350044,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_loose_router,VN100 2025 | Router | Adaptive Kalman Gate - Loose,123,72,0.4308943089430894,2.7098541305530794,-1.917604078285362,12.418486373558022,-4.640967424864949,2.025993159074796,36.83141289437588,-12.978394617720031,14.585365853658535,0.4575434881950038,1.8156878511230763,-0.1612324261023845,145754.3488195004,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_quality_family,VN100 2025 | Family | Adaptive Kalman Gate - Quality/Shock,128,74,0.46875,2.683708390976456,-0.8512903391937277,11.001263005409196,-4.655310386464196,2.085144912722214,36.83141289437586,-12.978394617720022,14.75,0.4891687595500043,1.9325819359350005,-0.1511024335693959,148916.87595500043,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_quality_router,VN100 2025 | Router | Adaptive Kalman Gate - Quality/Shock,122,71,0.4508196721311475,2.568747177912236,-1.479861947059483,11.62810124168478,-4.868036008766715,1.9608433926914093,36.83141289437589,-12.978394617720031,14.57377049180328,0.4519518065150039,1.8286139428353696,-0.1452357028948621,145195.18065150038,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_pullback_family,VN100 2025 | Family | Adaptive Kalman Gate - All MVP Setups,131,73,0.4351145038167939,2.242676046610579,-1.8127987991796488,11.34871763704272,-4.771437070343909,1.8320643597791004,36.83141289437588,-12.978394617720042,14.259541984732824,0.4634205014950046,1.8618237547037584,-0.1753255914938706,146342.05014950046,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_pullback_router,VN100 2025 | Router | Adaptive Kalman Gate - All MVP Setups,130,76,0.4307692307692308,2.123993630251845,-2.3106603828246963,11.463875373402532,-4.944024986186514,1.7547170921826878,36.83141289437589,-12.978394617720042,14.046153846153846,0.4899264204300044,1.9322175954521064,-0.1753255914938706,148992.64204300044,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_no_breakout_family,VN100 2025 | Family | Adaptive Kalman Gate - Pullback Only,129,74,0.4806201550387597,3.025863683710838,-0.299750124937544,11.110364517657654,-4.45531619247875,2.30763258836527,29.88837334320893,-12.978394617720028,14.589147286821705,0.5440854178300054,2.2096985977475776,-0.0943130731060198,154408.54178300055,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
VN100_2025_adaptive_no_breakout_router,VN100 2025 | Router | Adaptive Kalman Gate - Pullback Only,129,76,0.5038759689922481,3.4239531235189418,0.0590272636572522,11.364625690967792,-4.640792452796298,2.4871178973829013,36.83141289437586,-12.978394617720031,13.984496124031008,0.679809582870005,2.598973832643037,-0.0943130731060198,167980.9582870005,0.2809063783617302,0.2780513319834177,-0.213223266502365,-0.1592478065046972
