run,hypothesis,trades,win_rate,avg_trade_pct,sum_trade_pct,pf
VN100_2025_adaptive_loose_family,breakout_after_accumulation_v3__adaptive_loose,68,0.4411764705882353,3.729285502637929,253.59141417937917,2.323737943987146
VN100_2025_adaptive_loose_family,mean_reversion_uptrend_ma50_v1__adaptive_loose,40,0.5,2.549191124036087,101.96764496144348,2.3193197310524383
VN100_2025_adaptive_loose_family,compression_breakout_smt_v1__adaptive_loose,17,0.47058823529411764,1.3198606550644207,22.437631136095153,1.608591861873659
VN100_2025_adaptive_loose_router,breakout_after_accumulation_v3__adaptive_loose,71,0.43661971830985913,3.8507197672429974,273.4011034742528,2.3462622090319596
VN100_2025_adaptive_loose_router,compression_breakout_smt_v1__adaptive_loose,15,0.4666666666666667,2.221730204482518,33.32595306723777,2.0202350705050973
VN100_2025_adaptive_loose_router,mean_reversion_uptrend_ma50_v1__adaptive_loose,37,0.40540540540540543,0.7185135545010323,26.585001516538195,1.2983018904650514
VN100_2025_adaptive_no_breakout_family,breakout_after_accumulation_v3,71,0.4647887323943662,3.2915340304330676,233.69891616074779,2.2006714393881532
VN100_2025_adaptive_no_breakout_family,mean_reversion_uptrend_ma50_v1__adaptive_pullback,39,0.5384615384615384,4.050860610800815,157.9835638212318,3.5089390208090285
VN100_2025_adaptive_no_breakout_family,compression_breakout_smt_v1__adaptive_pullback,19,0.42105263157894735,-0.07084551490954998,-1.3460647832814496,0.9670870458738232
VN100_2025_adaptive_no_breakout_router,breakout_after_accumulation_v3,77,0.4805194805194805,3.8211659699813434,294.22977968856344,2.4147527555342103
VN100_2025_adaptive_no_breakout_router,mean_reversion_uptrend_ma50_v1__adaptive_pullback,33,0.5757575757575758,4.169391181238292,137.58990898086364,3.911803217216658
VN100_2025_adaptive_no_breakout_router,compression_breakout_smt_v1__adaptive_pullback,19,0.47368421052631576,0.5194875928692904,9.870264264516518,1.2362117449005745
VN100_2025_adaptive_pullback_family,breakout_after_accumulation_v3__adaptive_pullback,70,0.42857142857142855,3.0997314862312724,216.98120403618907,1.9720155073133774
VN100_2025_adaptive_pullback_family,mean_reversion_uptrend_ma50_v1__adaptive_pullback,43,0.46511627906976744,2.0216376067571185,86.93041709055609,2.0283875176541097
VN100_2025_adaptive_pullback_family,compression_breakout_smt_v1__adaptive_pullback,18,0.3888888888888889,-0.5622810567088483,-10.12105902075927,0.7767121976120662
VN100_2025_adaptive_pullback_router,breakout_after_accumulation_v3__adaptive_pullback,71,0.4225352112676056,3.159661463699127,224.335963922638,1.9778976125385384
VN100_2025_adaptive_pullback_router,mean_reversion_uptrend_ma50_v1__adaptive_pullback,40,0.45,1.2746922027000198,50.987688108000796,1.5669308277604252
VN100_2025_adaptive_pullback_router,compression_breakout_smt_v1__adaptive_pullback,19,0.42105263157894735,0.04186946853163935,0.7955199021011476,1.0171023981617322
VN100_2025_adaptive_quality_family,breakout_after_accumulation_v3__adaptive_quality,57,0.49122807017543857,4.151724904127696,236.6483195352787,2.54219139689688
VN100_2025_adaptive_quality_family,mean_reversion_uptrend_ma50_v1__adaptive_quality,47,0.44680851063829785,2.094350091820762,98.43445431557582,1.9400526922847217
VN100_2025_adaptive_quality_family,compression_breakout_smt_v1__adaptive_quality,24,0.4583333333333333,0.3513291747554958,8.431900194131899,1.1443816361225119
VN100_2025_adaptive_quality_router,breakout_after_accumulation_v3__adaptive_quality,60,0.45,3.6457970201935006,218.74782121161005,2.175289975257045
VN100_2025_adaptive_quality_router,mean_reversion_uptrend_ma50_v1__adaptive_quality,40,0.45,1.8829778092102063,75.31911236840826,1.877445953134264
VN100_2025_adaptive_quality_router,compression_breakout_smt_v1__adaptive_quality,22,0.45454545454545453,0.8781919147852048,19.320222125274505,1.356481700036629
VN100_2025_baseline_family,breakout_after_accumulation_v3,76,0.4605263157894737,3.4807547832627685,264.5373635279704,2.295144772575066
VN100_2025_baseline_family,mean_reversion_uptrend_ma50_v1,40,0.525,3.5593239590294155,142.37295836117661,2.891551949848568
VN100_2025_baseline_family,compression_breakout_smt_v1,17,0.4117647058823529,0.7200670622164199,12.24114005767914,1.3212704141228349
VN100_2025_baseline_router,breakout_after_accumulation_v3,79,0.45569620253164556,3.556684213510867,280.9780528673585,2.288631752033217
VN100_2025_baseline_router,mean_reversion_uptrend_ma50_v1,34,0.4411764705882353,2.485517986002193,84.50761152407456,2.1917182331603056
VN100_2025_baseline_router,compression_breakout_smt_v1,16,0.4375,1.6504160654580606,26.40665704732897,1.7789767181700358
VN100_2025_static_setup_aware_family,breakout_after_accumulation_v3__static_setup_aware,72,0.4444444444444444,3.3346567990265563,240.09528952991207,2.191856782413949
VN100_2025_static_setup_aware_family,mean_reversion_uptrend_ma50_v1__static_setup_aware,38,0.42105263157894735,1.5574794265149454,59.18421820756792,1.7358705645007395
VN100_2025_static_setup_aware_family,compression_breakout_smt_v1__static_setup_aware,18,0.4444444444444444,1.1064472378493897,19.916050281289014,1.5726185199628384
VN100_2025_static_setup_aware_router,breakout_after_accumulation_v3__static_setup_aware,79,0.4430379746835443,3.1274468227594845,247.06829899799928,2.0730381002541916
VN100_2025_static_setup_aware_router,compression_breakout_smt_v1__static_setup_aware,17,0.47058823529411764,1.2246547181646346,20.819130208798786,1.6145400562479633
VN100_2025_static_setup_aware_router,mean_reversion_uptrend_ma50_v1__static_setup_aware,34,0.35294117647058826,0.24908371862721684,8.468846433325373,1.093410365309099
