hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars
breakout_after_accumulation_v3,BID,2026-01-13,2026-01-14,49.374674999999996,50.7746,400,19749.87,20269.22032,519.3503200000014,2.629639182435132,TRAILING_ATR_STOP,1
breakout_after_accumulation_v3,CTR,2026-01-13,2026-01-14,109.4547,104.9475,100,10945.470000000001,10473.7605,-471.70950000000084,-4.309632204007692,ATR_STOP,1
breakout_after_accumulation_v3,TCB,2026-01-13,2026-01-15,38.11905,35.982,500,19059.525,17955.018,-1104.5070000000014,-5.795039488129958,ATR_STOP,2
breakout_after_accumulation_v3,DGW,2026-01-13,2026-01-21,44.022,46.9765,400,17608.8,18753.0188,1144.2188000000024,6.497994184725832,TRAILING_ATR_STOP,6
breakout_after_accumulation_v3,NAB,2026-01-13,2026-01-21,15.207599999999998,14.642675,1300,19769.879999999997,18997.406545,-772.4734549999957,-3.90732495594306,ATR_STOP,6
breakout_after_accumulation_v3,GVR,2026-01-14,2026-01-21,34.31715,37.981,400,13726.859999999999,15162.015200000002,1435.1552000000029,10.455087325142115,TRAILING_ATR_STOP,5
breakout_after_accumulation_v3,VNM,2026-01-21,2026-01-23,73.03649999999999,69.3653,200,14607.299999999997,13845.313880000002,-761.9861199999959,-5.216474776310448,ATR_STOP,2
breakout_after_accumulation_v3,EIB,2026-01-14,2026-01-26,23.51175,22.588700000000003,600,14107.05,13526.113560000002,-580.9364399999977,-4.118057566961184,STOP_LOSS,8
breakout_after_accumulation_v3,VGC,2026-01-15,2026-01-26,49.32464999999999,48.475750000000005,100,4932.464999999999,4837.879850000001,-94.58514999999807,-1.917604078285362,ATR_STOP,7
breakout_after_accumulation_v3,DCM,2026-01-15,2026-01-26,36.71835,36.131925,100,3671.835,3605.966115,-65.86888499999986,-1.7938955590324692,ATR_STOP,7
breakout_after_accumulation_v3,GMD,2026-01-21,2026-01-26,68.53425,67.7661,200,13706.85,13526.11356,-180.73644000000058,-1.3185847951936482,ATR_STOP,3
breakout_after_accumulation_v3,DPM,2026-01-23,2026-01-26,25.862925,24.537725000000002,1000,25862.925,24488.649550000002,-1374.2754499999974,-5.313689190221128,STOP_LOSS,1
breakout_after_accumulation_v3,PNJ,2026-01-30,2026-02-03,83.2416,77.431265,100,8324.16,7727.640246999999,-596.5197530000005,-7.166125506958066,STOP_LOSS,2
breakout_after_accumulation_v3,PLX,2026-01-21,2026-02-06,57.8289,56.47175,300,17348.67,16907.64195,-441.02804999999717,-2.542143288217467,TRAILING_ATR_STOP,12
breakout_after_accumulation_v3,MWG,2026-02-03,2026-02-06,94.4472,89.65515,100,9444.72,8947.583970000002,-497.13602999999785,-5.263639684395068,ATR_STOP,3
breakout_after_accumulation_v3,VHC,2026-01-30,2026-02-09,64.73235,60.469750000000005,100,6473.235,6034.88105,-438.3539499999997,-6.771791075096142,STOP_LOSS,6
breakout_after_accumulation_v3,VGC,2026-02-03,2026-02-09,52.82639999999999,52.9735,200,10565.279999999999,10573.510600000001,8.230600000002596,0.07790233671045724,TRAILING_ATR_STOP,4
breakout_after_accumulation_v3,BID,2026-01-15,2026-02-10,52.6263,50.17490000000001,100,5262.63,5007.45502,-255.17497999999978,-4.848810955738856,STOP_LOSS,18
breakout_after_accumulation_v3,ANV,2026-01-30,2026-02-10,28.6143,26.68665,300,8584.29,7989.98301,-594.306990000001,-6.923193298455677,STOP_LOSS,7
breakout_after_accumulation_v3,BSR,2026-01-14,2026-02-11,21.6108,23.08845,600,12966.480000000001,13825.363860000001,858.8838599999999,6.623878338608472,TRAILING_ATR_STOP,20
breakout_after_accumulation_v3,PVD,2026-02-03,2026-03-04,33.6168,44.9775,400,13446.72,17955.018,4508.298000000001,33.52712036838724,TAKE_PROFIT,16
breakout_after_accumulation_v3,EVF,2026-02-24,2026-03-04,12.90645,13.743125000000001,3100,40009.994999999995,42518.480125,2508.4851250000065,6.269646184659625,TRAILING_ATR_STOP,6
breakout_after_accumulation_v3,VSC,2026-02-24,2026-03-09,25.962974999999997,22.638675,1500,38944.462499999994,33890.096475,-5054.366024999996,-12.978394617720033,STOP_LOSS,9
breakout_after_accumulation_v3,SHB,2026-04-10,2026-04-28,15.557775,14.742625,200,3111.555,2942.62795,-168.92704999999978,-5.429023430406977,ATR_STOP,11
breakout_after_accumulation_v3,NVL,2026-04-09,2026-05-05,15.957974999999998,17.7911,300,4787.392499999999,5326.65534,539.2628400000012,11.264228700696702,TRAILING_ATR_STOP,15
breakout_after_accumulation_v3,ACB,2026-04-09,2026-05-05,24.062025,23.08845,200,4812.405,4608.45462,-203.9503799999993,-4.238013633515869,ATR_STOP,15
breakout_after_accumulation_v3,NLG,2026-04-02,2026-05-08,29.414699999999996,27.136425,2300,67653.81,62288.94994499999,-5364.860055000005,-7.92987128884538,STOP_LOSS,23
breakout_after_accumulation_v3,HCM,2026-04-09,2026-05-08,25.062525,28.035975,200,5012.505,5595.98061,583.4756099999995,11.640399560698683,END_OF_DATA,18
breakout_after_accumulation_v3,OCB,2026-04-09,2026-05-08,11.605799999999999,11.244375,500,5802.9,5610.943125,-191.95687499999985,-3.3079473194437243,END_OF_DATA,18
breakout_after_accumulation_v3,HSG,2026-04-10,2026-05-08,12.006,12.5937,300,3601.8,3770.55378,168.75378,4.685262368815592,END_OF_DATA,17
breakout_after_accumulation_v3,MSB,2026-04-13,2026-05-08,12.656324999999999,12.993500000000001,100,1265.6325,1296.7513000000001,31.118800000000192,2.458754812317177,END_OF_DATA,16
