portfolio_run,month,return_pct
breakout_after_accumulation_v3,2025-05,17.74390266950001
breakout_after_accumulation_v3,2025-06,-2.632159138379553
breakout_after_accumulation_v3,2025-07,7.5594211344682805
breakout_after_accumulation_v3,2025-08,14.038301819952203
breakout_after_accumulation_v3,2025-09,-5.574125658848816
breakout_after_accumulation_v3,2025-10,3.6528526509074455
breakout_after_accumulation_v3,2025-11,-1.8315010548821786
breakout_after_accumulation_v3,2025-12,-4.527035278491787
breakout_after_accumulation_v3,2026-01,2.6393184644498024
breakout_after_accumulation_v3,2026-02,2.4476521567897036
breakout_after_accumulation_v3,2026-03,-1.7622479927258738
breakout_after_accumulation_v3,2026-04,-2.3080203430734136
breakout_after_accumulation_v3,2026-05,-2.5922970495847575
mean_reversion_uptrend_ma20_v1,2025-05,6.434209586500006
mean_reversion_uptrend_ma20_v1,2025-06,7.0893641685455755
mean_reversion_uptrend_ma20_v1,2025-07,13.543096657625542
mean_reversion_uptrend_ma20_v1,2025-08,5.651095065896117
mean_reversion_uptrend_ma20_v1,2025-09,0.4469836749794842
mean_reversion_uptrend_ma20_v1,2025-10,2.3852642968135163
mean_reversion_uptrend_ma20_v1,2025-11,-4.368158165698843
mean_reversion_uptrend_ma20_v1,2025-12,-3.105233609415192
mean_reversion_uptrend_ma20_v1,2026-01,-0.12058989946442944
mean_reversion_uptrend_ma20_v1,2026-02,6.532195187925183
mean_reversion_uptrend_ma20_v1,2026-03,4.20588610944006
mean_reversion_uptrend_ma20_v1,2026-04,-4.484890588210078
mean_reversion_uptrend_ma20_v1,2026-05,-0.13936317993685776
mean_reversion_uptrend_ma50_v1,2025-05,6.115233926499997
mean_reversion_uptrend_ma50_v1,2025-06,6.7833260622935265
mean_reversion_uptrend_ma50_v1,2025-07,8.066612914433403
mean_reversion_uptrend_ma50_v1,2025-08,5.968400808385055
mean_reversion_uptrend_ma50_v1,2025-09,-6.157856968883502
mean_reversion_uptrend_ma50_v1,2025-10,3.5451719255924274
mean_reversion_uptrend_ma50_v1,2025-11,-3.8070068480531516
mean_reversion_uptrend_ma50_v1,2025-12,-2.877225380640447
mean_reversion_uptrend_ma50_v1,2026-01,2.873953573234944
mean_reversion_uptrend_ma50_v1,2026-02,-2.1231126025626823
mean_reversion_uptrend_ma50_v1,2026-03,-8.24485218277804
mean_reversion_uptrend_ma50_v1,2026-04,0.5082527271019988
mean_reversion_uptrend_ma50_v1,2026-05,-0.9279752687415654
rotation_weekly_smt_money_cycle_v1,2025-05,3.9792717540000577
rotation_weekly_smt_money_cycle_v1,2025-06,-3.0318062694824066
rotation_weekly_smt_money_cycle_v1,2025-07,2.925975007958459
rotation_weekly_smt_money_cycle_v1,2025-08,17.601229773256
rotation_weekly_smt_money_cycle_v1,2025-09,-6.764878929038987
rotation_weekly_smt_money_cycle_v1,2025-10,0.8556761897658749
rotation_weekly_smt_money_cycle_v1,2025-11,-0.20592906011641654
rotation_weekly_smt_money_cycle_v1,2025-12,-2.010791938943257
rotation_weekly_smt_money_cycle_v1,2026-01,-2.5807529674365504
rotation_weekly_smt_money_cycle_v1,2026-02,-1.1816180350339933
rotation_weekly_smt_money_cycle_v1,2026-03,-6.40591090289464
rotation_weekly_smt_money_cycle_v1,2026-04,3.4746513164032544
rotation_weekly_smt_money_cycle_v1,2026-05,0.0
rotation_monthly_smt_money_cycle_v1,2025-05,2.899912481500011
rotation_monthly_smt_money_cycle_v1,2025-06,2.956766572612035
rotation_monthly_smt_money_cycle_v1,2025-07,6.761648204409898
rotation_monthly_smt_money_cycle_v1,2025-08,5.999551925898872
rotation_monthly_smt_money_cycle_v1,2025-09,-0.7497523038880294
rotation_monthly_smt_money_cycle_v1,2025-10,-0.6079151248708725
rotation_monthly_smt_money_cycle_v1,2025-11,-0.5526634300577316
rotation_monthly_smt_money_cycle_v1,2025-12,-2.4100045030084893
rotation_monthly_smt_money_cycle_v1,2026-01,-4.139716322913623
rotation_monthly_smt_money_cycle_v1,2026-02,3.473056752614734
rotation_monthly_smt_money_cycle_v1,2026-03,0.0
rotation_monthly_smt_money_cycle_v1,2026-04,-1.5898645631078678
rotation_monthly_smt_money_cycle_v1,2026-05,-0.8604707713411819
composite_edge_score_v2,2025-05,7.704427992500018
composite_edge_score_v2,2025-06,5.584599426514636
composite_edge_score_v2,2025-07,11.868488564465608
composite_edge_score_v2,2025-08,21.521139675265456
composite_edge_score_v2,2025-09,-1.7036000580279431
composite_edge_score_v2,2025-10,3.1563783976794824
composite_edge_score_v2,2025-11,0.4546319678083055
composite_edge_score_v2,2025-12,-3.306218320497334
composite_edge_score_v2,2026-01,1.962082046569913
composite_edge_score_v2,2026-02,4.432296445279893
composite_edge_score_v2,2026-03,0.574320939575057
composite_edge_score_v2,2026-04,-2.053280754553821
composite_edge_score_v2,2026-05,-0.7289764064701387
composite_edge_score_v1,2025-05,7.704427992500018
composite_edge_score_v1,2025-06,2.8094065800253976
composite_edge_score_v1,2025-07,13.476711031103061
composite_edge_score_v1,2025-08,32.54884851045892
composite_edge_score_v1,2025-09,-0.005621607365158265
composite_edge_score_v1,2025-10,1.6629275839314284
composite_edge_score_v1,2025-11,1.68986186614708
composite_edge_score_v1,2025-12,-2.6448736776862436
composite_edge_score_v1,2026-01,0.4821586295957303
composite_edge_score_v1,2026-02,4.498941406710388
composite_edge_score_v1,2026-03,-0.4267637400223512
composite_edge_score_v1,2026-04,-2.4385203914731757
composite_edge_score_v1,2026-05,-0.5787892479966694
accumulation_breakout_smt_v1,2025-05,10.919917572500015
accumulation_breakout_smt_v1,2025-06,4.588025329782375
accumulation_breakout_smt_v1,2025-07,7.043759411920014
