scope,hypothesis,feature_rows,symbols_loaded,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd,positive_months,months,worst_month_pct,best_month_pct
portfolio,composite_edge_score_v1,49775,100,80,56,0.5125,5.111312186458124,1.621248570821198,15.660896155140108,-5.979276088310116,2.7535137685110644,32.93366650008331,-12.626326473127039,17.8375,0.6999051304650041,3.083548793525963,-0.08190469333846073,169990.51304650042,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,8,13,-2.6448736776862436,32.54884851045892
portfolio,composite_edge_score_v2,49775,100,75,55,0.49333333333333335,4.901208418319599,-0.11748275770709714,15.769534466253027,-5.681109049405055,2.702737543604991,32.93366650008331,-9.683303054355154,19.026666666666667,0.5855099686900025,2.8243057524772786,-0.08462747249349489,158550.99686900026,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,9,13,-3.306218320497334,21.521139675265456
portfolio,money_cycle_reset_smt_confirm,49775,100,40,30,0.575,8.806038888784203,3.495761839674765,18.830487298910008,-4.756450136680116,5.356209128155344,32.74941353367674,-7.852231459458226,25.75,0.49836613059000334,2.1202185489687673,-0.17687952859860412,149836.61305900034,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,10,13,-9.631334998344165,15.10953690517649
portfolio,leader_pullback_market_regime_v3,49775,100,57,45,0.49122807017543857,5.608858687904328,-2.2937551224387827,18.023888546556762,-6.3780666928635394,2.7284718060209787,32.79164335211314,-12.978394617720031,20.964912280701753,0.4354669269900018,2.2215004217383276,-0.06705427180852097,143546.69269900018,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,7,13,-4.284417727545586,15.959467214791868
portfolio,mean_reversion_uptrend_ma20_v1,49775,100,76,53,0.4605263157894737,2.8375944232463777,-1.551597561486037,11.480415136099884,-4.540423258457836,2.1584671354635385,29.39819664635768,-11.65278064901298,13.68421052631579,0.3780184014100043,1.91672927927289,-0.1165706907514743,137801.84014100043,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,8,13,-4.484890588210078,13.543096657625542
portfolio,regime_switching,49775,100,71,51,0.38028169014084506,3.111508980216093,-3.4574119978133955,16.771679810660483,-5.27086857482933,1.9525648315790836,30.043804184864094,-10.97472637418662,19.281690140845072,0.372171978045003,1.637323477956603,-0.14478384917060771,137217.1978045003,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,6,13,-4.696769116832744,16.13037444096257
portfolio,leader_pullback_market_healthy_v2,49775,100,56,42,0.48214285714285715,4.906115577708098,-1.7045246068172442,16.503715763989646,-5.89165011296783,2.6080178176400977,31.679575306686274,-10.97472637418662,22.089285714285715,0.32553766757000124,1.9026853967686106,-0.06694499092754036,132553.76675700012,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,7,13,-2.3187412056522083,12.315575262393663
portfolio,combined,49775,100,87,56,0.4827586206896552,3.008908329991537,-0.7177805227365386,11.303200846217623,-4.732431351819474,2.2292249667986055,30.013575499558467,-12.495499345128636,18.919540229885058,0.29877268291000214,1.5764588415255454,-0.10384419346524099,129877.26829100022,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,6,13,-6.216288399622327,17.246959146037398
portfolio,breakout_after_accumulation_v3,49775,100,95,62,0.4421052631578947,2.964251563668874,-2.558501834435796,13.628672680819031,-5.486799132940682,1.9683753634775054,36.83141289437588,-13.361640241239238,11.621052631578948,0.26801501095500346,1.2436276609902692,-0.11584340719924635,126801.50109550035,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,6,13,-5.574125658848816,17.74390266950001
portfolio,accumulation_breakout_smt_v1,49775,100,94,57,0.39361702127659576,1.9730941450478736,-2.6753791031249294,12.827566287516085,-5.072791280764825,1.6414367110528236,36.83141289437588,-12.978394617720031,11.24468085106383,0.15698265268500422,0.8160944791500028,-0.1778071435311407,115698.26526850043,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,8,13,-5.773022405176286,10.919917572500015
portfolio,accumulation_breakout_smt_v2,49775,100,92,54,0.43478260869565216,2.6511386896072464,-2.4410727094412543,12.546632763297923,-4.960779828616352,1.945511856038073,36.831412894375894,-12.978394617720031,11.554347826086957,0.14873276690500403,0.771547425535469,-0.19221831097664877,114873.2766905004,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,8,13,-5.2831036673119725,10.919917572500015
portfolio,leader_pullback_market_healthy,49775,100,64,48,0.359375,2.4090272514866826,-4.111580370282607,17.39775720029471,-5.999284671015381,1.6268135267820232,32.05580266470542,-12.978394617720031,18.234375,0.14269366606500222,0.8796995010541132,-0.1661452997784446,114269.36660650022,0.3349110165782019,0.2802892484187536,-0.14135641820977596,-0.15924780650469728,7,13,-6.777799829385723,12.121292268957173
