symbol,trades,win_rate,avg_pnl_pct,total_pnl
VHM,6,0.6666666666666666,0.1366665316863945,20801.411939
MBB,7,0.7142857142857143,0.12765466885808513,13425.868888000005
CTG,7,0.5714285714285714,0.05222802162424433,10034.88030800001
VIC,8,0.5,0.07133910909046781,9264.218229000016
MWG,12,0.5,0.06982445128853347,9089.667941000023
FPT,11,0.5454545454545454,0.0689622117775171,8848.216029000017
POW,6,0.3333333333333333,0.033654835731263454,7364.459321000014
BID,6,0.3333333333333333,0.043822805613965184,5620.804105000024
SSI,9,0.4444444444444444,0.06411817274994529,5548.537859000018
TPB,5,0.6,0.04490147581202172,3920.5493540000107
MSN,4,1.0,0.10402170900772359,3655.372220000014
GAS,7,0.5714285714285714,0.04603796538570669,3239.4729440000065
PLX,9,0.3333333333333333,0.019037747019554494,2284.728238000006
VCB,9,0.5555555555555556,0.028967356701407196,2104.403471000015
VJC,2,0.5,0.08141186965312792,1870.541820000004
BVH,7,0.2857142857142857,0.02139179335924322,1591.9633710000116
VRE,5,0.2,-0.01794776321223559,633.0832950000067
ACB,9,0.5555555555555556,0.026591870780274467,362.6092900000249
STB,5,0.4,0.014906562621708816,335.76068000000396
BCM,5,0.4,0.04465608392720848,19.609543000016856
HDB,6,0.5,0.026209364121369417,-416.19954999998663
HPG,5,0.4,0.017886353341634846,-862.616887999985
VPB,6,0.3333333333333333,0.008950042603667028,-1478.8267459999952
SAB,4,0.25,-0.04209362524391836,-1491.5296999999928
TCB,12,0.4166666666666667,0.024396906470045315,-1708.4242709999853
GVR,2,0.0,-0.10728361956981974,-2069.1895920000006
SHB,4,0.25,-0.048203688655753106,-2668.179013999991
VNM,7,0.2857142857142857,-0.029955991417929324,-2723.82691599999
SSB,4,0.0,-0.046977027859466,-2973.976446999981
VIB,5,0.4,-0.0409810627271188,-4557.008527999989
